method,speedup_vs_BP_mean
BP,1.0
ref3,2.4551606813517255
ref9,1.2944219371262042
ref31,0.47180558616158125
ref3 + residual U-Net,2.44897323099785
ref3 + ReMiC-Net R04,2.4426774858356595
