sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,n_fft,voxel_chunk,measurement_chunk,normalization
double_line_test_0001,double-line,1.4523236140084919,10988,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0002,double-line,0.6772211579955183,5534,975,13,15,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0003,double-line,1.2543818629928865,8439,1445,17,17,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0004,double-line,1.5315404309949372,11515,1170,15,13,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0005,double-line,0.873661165998783,5978,1350,15,15,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0006,double-line,1.55872409400763,11115,1275,15,17,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0007,double-line,0.8001364230003674,6982,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0008,double-line,0.833236157981446,7074,918,17,9,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0009,double-line,1.4085341409954708,12153,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0010,double-line,1.5139311980165076,11120,1170,13,15,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0011,double-line,0.8465489659865852,6385,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0012,double-line,1.0024739910149947,10790,525,15,7,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0013,double-line,1.5690413050178904,9376,1734,17,17,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0014,double-line,0.9904131619841792,7497,1122,11,17,6,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0000,small_rect_edge,0.462826884991955,5152,405,9,9,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0001,small_rect_edge,0.5788432549743447,5830,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0002,small_rect_edge,0.7977728600089904,6032,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0003,small_rect_edge,0.7576552839891519,6742,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0004,small_rect_edge,0.7299756649881601,6460,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0005,small_rect_edge,0.6480582199874334,5525,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0006,small_rect_edge,0.7063676720135845,6192,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0007,small_rect_edge,0.7510690960043576,5676,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0008,small_rect_edge,0.6867118800000753,6016,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0009,small_rect_edge,0.6889716199948452,6057,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0000,point_cluster,1.0510574219806585,9874,700,10,10,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0001,point_cluster,0.8629786589881405,6896,1000,10,10,10,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0002,point_cluster,0.5326133389899042,5453,567,9,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0003,point_cluster,0.7312338220071979,8420,392,8,7,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0004,point_cluster,0.9413670870126225,7637,1000,10,10,10,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0005,point_cluster,0.6292184850026388,5527,832,13,8,8,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0006,point_cluster,1.1179103120230138,11991,480,8,10,6,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0007,point_cluster,0.5912038880051114,6156,528,11,8,6,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0008,point_cluster,0.5512850880040787,5843,490,10,7,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0009,point_cluster,0.7708128920057788,8573,441,7,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0010,point_cluster,1.1539504830143414,8894,1120,10,14,8,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0011,point_cluster,0.5613488889939617,5730,567,9,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0012,point_cluster,0.7258767760067713,7237,630,10,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0013,point_cluster,0.9651169250137173,7143,1200,15,8,10,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0014,point_cluster,0.4452771059877705,5130,392,8,7,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0015,point_cluster,0.7315217489958741,7575,560,8,10,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0016,point_cluster,1.3869877110118978,11040,1056,11,12,8,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0017,point_cluster,0.5139560190145858,5232,540,10,9,6,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0018,point_cluster,0.8196702849818394,8886,504,9,8,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0019,point_cluster,1.0830075329868123,12122,420,10,6,7,4096,384,512,independent peak normalization after fitting to 24^3
