method,failure_label,count
ref3,F2,66
ref3,F3,37
ref3,F4,29
ref5,F2,79
ref5,F3,37
ref5,F4,15
ref7,F2,93
ref7,F3,39
ref7,F4,13
ref9,F2,96
ref9,F3,26
ref9,F4,14
BP,F2,64
BP,F3,11
BP,F4,17
ref3+learning,F2,23
ref3+learning,F3,1
ref3+learning,F4,0
