family,method,nmse_mean,psnr_mean,ssim_mean,wall_time_mean_sec,speedup_vs_bp,num_samples
L-shape,ref3,5.324878338200795,22.97106558589216,0.16587793065753154,0.4902717033983208,5.581918282898013,24
L-shape,ref5,3.5360533770818883,24.697420281592645,0.25247889847405114,0.6409816312952898,4.2694773940033635,24
L-shape,ref7,3.1727823833370663,24.92396057959972,0.26734709402944795,0.799679767844888,3.42219060032223,24
L-shape,ref9,2.954439451404152,25.36231879732539,0.29632817025930996,0.9546357436144414,2.8667024077949472,24
L-shape,BP,2.8107890498238155,25.40613755774964,0.3161822485108956,2.736656584786639,1.0,24
L-shape,ref3+learning,0.7936766503650824,29.826607318252343,0.6030924611757821,0.4913870474136073,5.569248516400469,24
cross,ref3,3.7309385264266552,24.18463756110388,0.22257632954455744,0.3456874880939722,4.93546121461704,24
cross,ref5,2.3223101900797807,25.646334170174697,0.3146245588953128,0.44383807749060605,3.8440306868495306,24
cross,ref7,1.9299179678390004,26.22114539573308,0.36445031638614694,0.5431621309156375,3.141101142287073,24
cross,ref9,1.8100025519396297,26.572219083526676,0.3916809560415048,0.638818893377902,2.6707525521742936,24
cross,BP,1.6645675582100126,26.958258988070188,0.42755932259122825,1.7061271898661896,1.0,24
cross,ref3+learning,0.7635879244877101,30.0202298798162,0.5890532660075292,0.34680283210925866,4.91958839981065,24
double-line,ref3,5.213236955245104,22.696929467853124,0.15571934939203916,0.5269164359100008,5.636184128588823,24
double-line,ref5,2.998907989347464,24.406385013714214,0.2369055819300719,0.6917499323899392,4.2931671028981935,24
double-line,ref7,2.2934587864724194,25.444346526751644,0.30801343083404814,0.8598041007547484,3.454040345424737,24
double-line,ref9,2.5198532477296647,25.04352080564006,0.28297680569076517,1.0253112274804153,2.896484475710341,24
double-line,BP,2.336025690272911,25.314684704669048,0.31067496162465913,2.9697980531685366,1.0,24
double-line,ref3+learning,0.8218833508909142,29.55579056690082,0.5741177896549104,0.5280317799252873,5.62427900379167,24
line,ref3,5.025149796823082,24.765705798297773,0.23945566274049682,0.3534275600395631,5.0817439919660305,24
line,ref5,3.251878704057068,26.24007190098115,0.3311417359437234,0.4581799852021504,3.9199188917731753,24
line,ref7,3.036627046961518,26.55281376865751,0.348030155840644,0.5622073174357259,3.1946015715663347,24
line,ref9,2.8079835897376006,26.75426569320579,0.3658786356654515,0.6647277632243155,2.7019006564649612,24
line,BP,2.6402617207317536,26.9463019147196,0.3859587152723675,1.7960283798262633,1.0,24
line,ref3+learning,0.7918820935428394,31.726436351190785,0.6632771517973007,0.35454290405484956,5.065757512801352,24
point_cluster,ref3,11.3377188683045,24.346086873920175,0.1839139881529166,0.36787791763587546,4.9136196435392305,24
point_cluster,ref5,6.1758291769782305,26.607001639152042,0.28542727871695656,0.46987282344101305,3.8470242847464213,24
point_cluster,ref7,5.002055576762967,27.386906615893228,0.3379029419103523,0.5761085217042515,3.1376244134918254,24
point_cluster,ref9,5.04709758954401,27.330042789731802,0.33283816450851783,0.6786109460614776,2.663694378953014,24
point_cluster,BP,4.358968237328003,27.934063824942722,0.3849747555843379,1.8076121625199448,1.0,24
point_cluster,ref3+learning,1.015051589062367,33.986737732341105,0.7102821686506218,0.3689932616511619,4.8987674041289715,24
small_rect_edge,ref3,3.9840853781480963,24.53354974288784,0.21457131477498484,0.2607721331490514,5.112387767347125,24
small_rect_edge,ref5,2.55454843227383,25.861828650033015,0.2865182716445444,0.3386745161066453,3.936429226804962,24
small_rect_edge,ref7,2.370898937944959,26.245226930058383,0.3196896779043316,0.41805558124906383,3.1889737235249784,24
small_rect_edge,ref9,2.232976193357966,26.39927963626248,0.3318290990696209,0.49437082040822133,2.696696909569576,24
small_rect_edge,BP,2.2522198400424287,26.35560371638398,0.34440843207845645,1.3331682635762263,1.0,24
small_rect_edge,ref3+learning,0.7823400448125173,30.83724035580683,0.6192565203619912,0.2618874771643378,5.0906147862108195,24
