method,nmse_mean,psnr_mean,ssim_mean,wall_time_mean_sec,speedup_vs_bp,num_samples
ref3,5.769334643858039,23.916329171659157,0.19701909587708774,0.390825539704464,5.266369679543039,144
ref5,3.4732546449697104,25.57650694260796,0.28451605426744336,0.5072161609876074,4.057898644796772,144
ref7,2.9676234498863217,26.129066636115592,0.3242389361508285,0.6265029033173859,3.285270924351862,144
ref9,2.8953921039521706,26.2436078009487,0.333588638539195,0.7427458990277955,2.7711115941329605,144
BP,2.677138682734821,26.48584178442253,0.36162640594365747,2.0582317722906334,1.0,144
ref3+learning,0.8280702755269052,30.992173700718013,0.6265132262746893,0.3919408837197504,5.251383200335721,144
