method,nmse_mean,psnr_mean,ssim_mean,wall_time_mean_sec,speedup_vs_bp,num_samples
ref3,5.997081764777547,23.797283856458293,0.1851951384937236,0.3793454614747316,5.203755007069577,100
ref5,3.510261397140238,25.625804280688076,0.2894831973221749,0.4932346696895547,4.002194018114574,100
ref7,3.1150165492201234,26.01183418513533,0.316506125628011,0.608201550161466,3.245668880709345,100
ref9,2.803776449477663,26.310757938670427,0.3390008106413757,0.7195135024748742,2.7435494091053387,100
BP,2.5939188747578403,26.701456970833007,0.37783786213898446,1.9740208445582539,1.0,100
ref3+learning,0.8074824425399331,31.144169308630467,0.6296994626247899,0.3805281818611549,5.187581205952636,100
