mode,family,count,ref3_nmse_mean,learned_nmse_mean,ref3_psnr_mean,learned_psnr_mean,ref3_ssim_mean,learned_ssim_mean,nmse_gain_vs_ref3
M2,line,20,5.207608052731839,0.7488894576700502,24.54234403581781,31.97973570466441,0.2231650669728557,0.6674341823342341,4.458718595061788
M2,cross,15,5.301341320507399,0.7496166658499211,23.53942937932234,31.239837934937004,0.18357937610163783,0.6373497025040147,4.551724654657478
M2,L-shape,20,3.3243850019688863,0.6976149032537069,23.58883861125389,29.89745694584647,0.18415931677260383,0.6148201979985013,2.6267700987151796
M2,double-line,15,3.155882342589904,0.7440509595444369,23.364330428113572,28.73994494303903,0.20362625474531704,0.5443550695997588,2.411831383045467
M2,small_rect_edge,10,4.158195671827727,0.7618046273845726,24.174785605585406,30.774232746090426,0.18880941862326206,0.6182240896757809,3.3963910444431553
M2,point_cluster,20,13.031400185950176,0.9709757135746189,23.590023976850127,34.132377055753295,0.13384237627631135,0.7176810425334217,12.060424472375557
M2,line,20,5.207608052731839,0.7812016905907601,24.54234403581781,31.8031553179961,0.2231650669728557,0.6565555820080136,4.426406362141078
M2,cross,15,5.301341320507399,0.8019101110011666,23.53942937932234,30.956265672773938,0.18357937610163783,0.612002837453202,4.499431209506231
M2,L-shape,20,3.3243850019688863,0.728845556835498,23.58883861125389,29.708410365662058,0.18415931677260383,0.6018541374292894,2.5955394451333884
M2,double-line,15,3.155882342589904,0.7523473752333129,23.364330428113572,28.705465163425774,0.20362625474531704,0.5409449191864905,2.4035349673565913
M2,small_rect_edge,10,4.158195671827727,0.7819099752118266,24.174785605585406,30.672177101920067,0.18880941862326206,0.6114644483068212,3.376285696615901
M2,point_cluster,20,13.031400185950176,0.9707168629916337,23.590023976850127,34.12689418138437,0.13384237627631135,0.7196445520534666,12.060683322958543
