variant,seed,epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
G00_generic_film_sincos_Pcyc,0,1,0.13765007115900516,0.045574438686554246,0.8200653662532568,4.525475025177002
G00_generic_film_sincos_Pcyc,0,2,0.03543004382401705,0.02671207831456111,0.7946138355135918,2.3258960247039795
G00_generic_film_sincos_Pcyc,0,3,0.018555000722408295,0.010821091441007761,0.8466368753463029,2.5969438552856445
G00_generic_film_sincos_Pcyc,0,4,0.012818912714719773,0.01832116782092131,2.064601951315999,3.2207043170928955
G00_generic_film_sincos_Pcyc,0,5,0.010304261464625597,0.007423692991813788,1.8831996646523477,2.8103654384613037
G00_generic_film_sincos_Pcyc,0,6,0.007462513749487698,0.00664184894412756,1.9173550152778625,2.356813669204712
G00_generic_film_sincos_Pcyc,0,7,0.008286095010116696,0.009871936045013942,1.8972231775522232,2.629420518875122
G00_generic_film_sincos_Pcyc,0,8,0.007805195986293256,0.006337008259903926,2.1352788850665094,2.5133872032165527
G00_generic_film_sincos_Pcyc,0,9,0.007302401270717383,0.005943652134961807,1.818243638277054,2.5673165321350098
G00_generic_film_sincos_Pcyc,0,10,0.006932764519006014,0.005665345224910057,1.8934501364827157,2.639404773712158
G00_generic_film_sincos_Pcyc,0,11,0.007822930119000376,0.006117247474881319,1.9077577584981917,2.6731603145599365
G00_generic_film_sincos_Pcyc,0,12,0.00699458627961576,0.008094357505727273,1.8020663705468178,2.572817087173462
G00_generic_film_sincos_Pcyc,0,13,0.006916797487065196,0.00597855534691077,2.0028510773181916,2.469470739364624
G00_generic_film_sincos_Pcyc,0,14,0.0070356402918696406,0.008424530665461834,2.0209143918752672,2.555215835571289
G00_generic_film_sincos_Pcyc,0,15,0.00684750092215836,0.005610404643588341,2.1789598190784454,2.4479403495788574
G00_generic_film_sincos_Pcyc,0,16,0.006764384852722287,0.006003685080661223,2.140837506055832,2.441424608230591
G00_generic_film_sincos_Pcyc,0,17,0.006683111046440899,0.006017164112283633,2.032704710364342,2.415447235107422
G00_generic_film_sincos_Pcyc,0,18,0.006447808034718037,0.005972192694361393,1.9461853063106538,2.441040515899658
G00_generic_film_sincos_Pcyc,0,19,0.0060231492528691885,0.006320381608720009,1.7622980585694312,2.5254597663879395
G00_generic_film_sincos_Pcyc,0,20,0.006445414568297565,0.006429723213211848,2.0906494203209878,2.423229932785034
G00_generic_film_sincos_Pcyc,0,21,0.005958228758536279,0.004968430058887372,1.8677454429864884,2.4800894260406494
G00_generic_film_sincos_Pcyc,0,22,0.005244848290458321,0.0045962429677064605,1.7639955499768256,2.261337995529175
G00_generic_film_sincos_Pcyc,0,23,0.005514286388643086,0.006314556615856977,1.7901040840148925,2.4215097427368164
G00_generic_film_sincos_Pcyc,0,24,0.009113187626935542,0.010865571908652782,2.230896242260933,2.542513847351074
G00_generic_film_sincos_Pcyc,0,25,0.0089331165375188,0.004957198416097806,2.258354405760765,2.5521366596221924
G00_generic_film_sincos_Pcyc,0,26,0.005861431073863059,0.00585847502001203,1.6971294199675322,2.4845359325408936
G00_generic_film_sincos_Pcyc,0,27,0.007279610331170261,0.004747223700038516,1.8331341463327409,2.530332326889038
G00_generic_film_sincos_Pcyc,0,28,0.004859361427370459,0.0042691785448159165,1.8439149594306945,2.1738061904907227
G00_generic_film_sincos_Pcyc,0,29,0.0051324620121158656,0.0071764235886243675,1.945048331618309,2.3604249954223633
G00_generic_film_sincos_Pcyc,0,30,0.005202859095297754,0.004298009515668337,1.712969419658184,2.38232159614563
G00_generic_film_sincos_Pcyc,0,31,0.005511889704503119,0.00824791443749116,1.6201076108217238,2.431472063064575
G00_generic_film_sincos_Pcyc,0,32,0.005465724803507328,0.0046162123147111675,1.8413493207097054,2.419769287109375
G00_generic_film_sincos_Pcyc,0,33,0.005382619029842317,0.004422587682851232,1.8877745062112807,2.4076297283172607
G00_generic_film_sincos_Pcyc,0,34,0.005354687094222754,0.004228222362983685,1.8350118345022202,2.3952505588531494
G00_generic_film_sincos_Pcyc,0,35,0.005295674037188292,0.004131400384582006,1.7246481436491012,2.3515305519104004
G00_generic_film_sincos_Pcyc,0,36,0.005108330904040486,0.004824809586772552,1.9529104399681092,2.324780225753784
G00_generic_film_sincos_Pcyc,0,37,0.005031604815740138,0.003827226312401203,1.8942852893471718,2.341981887817383
G00_generic_film_sincos_Pcyc,0,38,0.005254294343758375,0.005443110775489073,1.9490719231963158,2.413961887359619
G00_generic_film_sincos_Pcyc,0,39,0.005081364950165153,0.0046096268074157145,1.8394232615828514,2.3511812686920166
