epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
1,0.13543409798294306,0.04891285615471693,2.366574099510908,5.354231834411621
2,0.028079715669155122,0.021283999515267518,2.2866775995492934,4.439925670623779
3,0.020607660096138715,0.01654268794048291,3.37383159160614,4.290675163269043
4,0.021791009521111845,0.017293640340750035,3.358307667374611,4.507144451141357
5,0.018358627567067742,0.013552536256611347,3.11793902695179,4.430217266082764
6,0.01697655566968024,0.017136289809758846,3.217008930146694,4.350449562072754
7,0.015856232047080993,0.01730543840676546,3.450081847012043,4.117796897888184
8,0.01620173366740346,0.012896288257951919,2.8362253963947297,4.254522323608398
9,0.012022424824535846,0.013526148520983182,2.7660560214519503,3.5311806201934814
10,0.011699598478153349,0.012034227641729208,2.6878032529354097,3.575179100036621
11,0.011254025590606034,0.01179129178993977,2.664405003786087,3.505258798599243
12,0.010661195148713887,0.011832722391073521,2.6559291708469392,3.4925854206085205
13,0.013132558567449451,0.022815558629540298,2.8999898770451544,4.005156993865967
14,0.010947114978916943,0.01148822602744286,2.6497160708904266,3.877389907836914
15,0.010490034092217684,0.008822774586196128,2.5694651871919634,3.7752127647399902
16,0.00955098245292902,0.007990379423762742,2.601698272228241,3.259124279022217
17,0.009297328572720288,0.007841676831818543,2.5411121368408205,3.2155773639678955
18,0.009142869240604342,0.007950741152923841,2.459441180229187,3.184842586517334
19,0.009001681208610534,0.007911370386584448,2.4437796914577485,3.1230721473693848
20,0.008878834205679595,0.00766459318737571,2.4355927574634553,3.142066240310669
21,0.008688112292438745,0.008732042096268672,2.3753130596876146,3.015723943710327
22,0.00845133455004543,0.006912515641978154,2.540225908756256,3.1726725101470947
23,0.008325457158498466,0.007225189357995987,2.4301187866926193,3.0265138149261475
24,0.009050472197122872,0.00841990657723867,2.3284456551074983,3.444382429122925
25,0.009019984724000096,0.010654864546198111,2.333379346728325,3.400588274002075
26,0.00879163304809481,0.00839142963433495,2.4795266759395598,3.1613359451293945
27,0.007730847164057195,0.008163881094123308,2.2357536292076112,2.7912635803222656
28,0.007634724010713399,0.008101507949714478,2.2089533543586732,2.7346694469451904
29,0.007572382697835564,0.007746742859196205,2.167586489915848,2.756649971008301
30,0.007965125381015242,0.00756613534087172,2.182483474612236,3.1775355339050293
31,0.007334592579863966,0.007238098527663029,2.105403516292572,2.7199857234954834
32,0.007166807036846876,0.006851635479296629,2.1388974702358245,2.664738893508911
33,0.007159336456097663,0.006628225091844797,2.0482236087322234,2.592540979385376
34,0.007533203586935997,0.009046818846120285,1.9174731373786926,2.8913493156433105
35,0.008857618477195501,0.015262483834074093,2.1014894653856753,3.0809900760650635
36,0.008524986044503748,0.006809319333674816,2.0023424571752546,3.003823757171631
37,0.008391112233512103,0.006696262683432836,2.0397230726480484,3.054978847503662
38,0.007789857187308371,0.0068909626525755115,2.1303690406680107,2.829179286956787
39,0.00764136063400656,0.00966767816302868,2.382509959936142,2.657839775085449
40,0.0065070037683472035,0.006372536031099467,1.9544202852249146,2.633953094482422
41,0.006155637940391898,0.005534670029122096,1.931748878955841,2.375155210494995
42,0.008254823279567064,0.0062452555060959775,2.1632072153687476,2.8496499061584473
43,0.00736824821215123,0.00591064147794476,2.0317459504306314,2.766660690307617
44,0.007542948634363711,0.00592266356285948,1.9787647765874863,2.7378790378570557
45,0.00856418973300606,0.01048968445796233,2.1944249549508097,2.7017219066619873
46,0.007488300709519535,0.005535501091239544,2.0238720314204692,2.6288461685180664
47,0.007287370418198407,0.008607636814793715,2.0796919740736484,2.5733063220977783
48,0.006127879316918552,0.005113568425608369,1.7093034522235393,2.6166529655456543
49,0.005544030470773577,0.005276723406635798,1.7175765001773835,2.1628918647766113
50,0.0061027419404126705,0.0055386049028199455,1.7190854039788246,2.45419979095459
