epoch,train_l1
1,0.014217852931469679
2,0.012090903306379915
3,0.011919025983661412
4,0.008193641938269138
5,0.006128419390879571
6,0.00540089224698022
7,0.00478015513624996
8,0.004045294446405024
9,0.003586266851052642
10,0.0034314141632057725
11,0.003326068005990237
12,0.003116598327178508
13,0.003148607772309333
14,0.002968793149339035
15,0.0029008255433291196
16,0.002845668699592352
17,0.002774006278486922
18,0.0026974810985848307
19,0.0026292980439029633
20,0.0025393976212944834
21,0.00256291963160038
22,0.002392839293461293
23,0.002298827404156327
24,0.0022194405517075213
25,0.0022102533350698648
26,0.0021928214677609504
27,0.0020999663101974875
28,0.002061353644821793
29,0.002044268783647567
30,0.0020035344013012947
31,0.0019580835592933
32,0.0019432740565389394
33,0.0019477773527614773
34,0.0019282861112151295
35,0.0018823635776061564
36,0.0018890196515712887
37,0.0019339537154883146
38,0.0019410286925267428
39,0.0018711463338695466
40,0.0018936293863225729
41,0.0017871870240196586
42,0.0018696295277914033
43,0.001831481989356689
44,0.001855383968213573
45,0.0018147286213934422
46,0.0017543614900205283
47,0.0017141403554705903
48,0.0017322391690686345
49,0.0017218140664044769
50,0.0017732516478281468
