epoch,train_l1
1,0.014026882164180278
2,0.009757218910381197
3,0.0064299055421724914
4,0.005125374654307961
5,0.004526921866927296
6,0.004063328308984637
7,0.0037878248980268837
8,0.0034387754136696457
9,0.0031565138325095176
10,0.0029318705620244145
11,0.0027069739892613145
12,0.0026137143885716797
13,0.0025432371359784154
14,0.0023853302584029732
15,0.0022149051376618447
16,0.00221676686196588
17,0.0020434287562966346
18,0.002071074687410146
19,0.0020268320792820303
20,0.0019325014716014266
21,0.0018857487814966589
22,0.0019740772363729775
23,0.0018139891745522618
24,0.0019235404999926686
25,0.0018111757701262832
26,0.0017630635504610837
27,0.0018623629421927034
28,0.0017469679552596063
29,0.0018023319530766457
30,0.0017040302883833648
31,0.001715024703880772
32,0.0017245861305855215
33,0.0016800824034726247
34,0.0017004618619102985
35,0.0017097712401300668
36,0.0018030609376728534
37,0.0018959586962591856
38,0.0016884245158871635
39,0.001708739068126306
40,0.0017017106479033828
41,0.0016822602960746736
42,0.0017259790399111808
43,0.0016874166193883867
44,0.0016670028760563582
45,0.001771531399572268
46,0.0017818977218121291
47,0.0017436690942849965
48,0.0016933598433388397
49,0.0016905787610448897
50,0.001665612930082716
