epoch,train_l1
1,0.04821613539010286
2,0.016408128701150416
3,0.012914713360369206
4,0.011777221970260144
5,0.011218391549773514
6,0.009321689438074827
7,0.006467310488224029
8,0.005318480245769024
9,0.004769906178116798
10,0.004842085200361907
11,0.00424380318261683
12,0.004253181284293532
13,0.0041931419703178105
14,0.003652228896971792
15,0.003537840726785362
16,0.0031709576142020524
17,0.003269573061261326
18,0.0031880011525936424
19,0.0030954339122399688
20,0.0030328280245885252
21,0.0031457284674979748
22,0.0028627350949682294
23,0.0028113589936401696
24,0.0028110044868662953
25,0.0027506872126832603
26,0.0029312916041817514
27,0.0029942378227133305
28,0.0027830164704937487
29,0.002756183760939166
30,0.0026142702135257424
31,0.0027268641535192727
32,0.0027443719888105987
33,0.0027154997258912773
34,0.002580430777743459
35,0.0028232368582393973
36,0.002723250613780692
37,0.0028117805311921986
38,0.002382368117105216
39,0.00237530863028951
40,0.002345239135902375
41,0.0023401308176107705
42,0.002401297299657017
43,0.0023217200650833547
44,0.0022855196974705906
45,0.002262559946393594
46,0.002340263770893216
47,0.0023534185695461927
48,0.0025059259310364723
49,0.0022380576888099313
50,0.0023078342829830943
