epoch,train_l1
1,0.01421446528751403
2,0.012094462774693965
3,0.011850512060336769
4,0.007620533281005919
5,0.005294540582690388
6,0.004394544379319996
7,0.0038562139682471754
8,0.0035848183045163753
9,0.0032947565498761835
10,0.003073104042559862
11,0.002897579960990697
12,0.002802014348562807
13,0.0027206127613317223
14,0.0026858495455235245
15,0.0025439962500240654
16,0.0024676632683258504
17,0.0023951596592087297
18,0.0023806465906091034
19,0.0023226635879836977
20,0.002270936348941177
21,0.0021444404509384186
22,0.002125468155136332
23,0.0020794090814888477
24,0.0021460353094153108
25,0.0020877816830761732
26,0.0020851009036414324
27,0.002066630043555051
28,0.0020238273323047906
29,0.002001884130295366
30,0.0018890821409877389
31,0.0019251028483267874
32,0.0018225849722512065
33,0.0018345801765099169
34,0.0018994621327146888
35,0.0017684992356225848
36,0.0017058614315465092
37,0.0019093815563246607
38,0.0016679961164481937
39,0.0018895222840365023
40,0.0017321431898744777
41,0.0016651242604712024
42,0.0017829494090983644
43,0.0017616927524795756
44,0.001655990622821264
45,0.0016255549533525481
46,0.0016547642403747886
47,0.0016292342852102593
48,0.0016724473144859075
49,0.0017098737426567822
50,0.0016821940161753446
