sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,num_freq,voxel_chunk,measurement_chunk,phase_convention,normalization
cross_test_0011,cross,26.95133456599433,6394,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0012,cross,23.860273761034478,7523,726,11,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0013,cross,51.07073505100561,12005,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0014,cross,14.209934020007495,5720,594,9,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0000,L-shape,33.038827317010146,7158,1105,17,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0001,L-shape,27.99943358200835,10304,650,13,10,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0002,L-shape,28.181163589993957,6775,975,15,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0003,L-shape,27.298574114975054,7231,900,12,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0004,L-shape,86.90132613998139,15454,1330,19,14,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0005,L-shape,25.960176354041323,6749,900,15,12,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0006,L-shape,19.783084096969105,6625,700,10,14,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0007,L-shape,38.17883891897509,7992,1105,13,17,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0008,L-shape,20.549706220976077,6120,780,13,12,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0009,L-shape,79.867210951983,16243,1170,18,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
L_shape_test_0010,L-shape,29.43696366500808,7612,910,14,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
