table_method,method,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample,network_runtime_per_sample,end_to_end_runtime_per_sample,source
T01_BP,BP,0,line_test_0000,line,2.389944403315463,27.0571359274007,0.4353113309898147,0.005397009197622538,17.887677035992965,,17.887677035992965,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0001,line,0.901324107937025,26.361414893775077,0.5383765318582636,0.007850871421396732,57.65398354199715,,57.65398354199715,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0002,line,2.355465492763185,26.481532940924296,0.3809893716353224,0.006575450301170349,18.315837601025123,,18.315837601025123,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0003,line,3.8831760282195784,28.019244583290053,0.37283812295043733,0.00534179387614131,23.660176725999918,,23.660176725999918,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0004,line,5.992241880023041,28.86251301583541,0.4177826529384111,0.004030469339340925,14.843800455040764,,14.843800455040764,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0005,line,2.400168016859154,28.614594316980696,0.5071853060421659,0.004392769653350115,12.53548147395486,,12.53548147395486,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0006,line,1.587102344212478,29.592991869913476,0.575968995186167,0.0033636700827628374,19.1661116820178,,19.1661116820178,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0007,line,1.7676301931813871,27.314988697930428,0.4277475996545124,0.006707326043397188,31.713391695986502,,31.713391695986502,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0008,line,0.787880910546376,26.856140365170642,0.5715011421655982,0.007277112919837236,21.885043855989352,,21.885043855989352,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0009,line,1.3369618159911725,28.94562966888934,0.5399058536273917,0.004419590346515179,25.000098777003586,,25.000098777003586,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0010,line,1.958343459470435,29.500786884943103,0.5665337614709368,0.003567863954231143,17.35148835799191,,17.35148835799191,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0011,line,1.285169068850354,26.657286892091726,0.44443005933010066,0.007202399894595146,21.84770258498611,,21.84770258498611,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0012,line,1.3849036053163577,28.2677242289125,0.540039201642269,0.004522813018411398,20.38874697603751,,20.38874697603751,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0013,line,1.0686318920018698,26.72545360127153,0.5242032630853334,0.006575808394700289,19.908726540976204,,19.908726540976204,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0014,line,2.3837478588092536,31.057357706505904,0.6088769387742303,0.002860981272533536,10.078747060964815,,10.078747060964815,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0015,line,4.668987757098808,28.696868561006852,0.4165038251608999,0.004207106307148933,9.55858532601269,,9.55858532601269,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0016,line,1.177401815290371,27.49376350623679,0.4905194589694851,0.0066183628514409065,28.61892340099439,,28.61892340099439,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0017,line,2.4081627133733843,28.278144680128566,0.44914689169034505,0.0053305369801819324,14.503487018984742,,14.503487018984742,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0018,line,1.1768776971756079,28.661290209988152,0.585370853872023,0.004689395427703857,15.409735745983198,,15.409735745983198,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,line_test_0019,line,1.495947722828754,27.551924455216504,0.5157395186419071,0.005323084536939859,16.43633650697302,,16.43633650697302,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0000,cross,1.8248216803502633,29.56816004806463,0.5418169910567312,0.004413927439600229,18.671912351972423,,18.671912351972423,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0001,cross,1.063215746299907,26.234460355534758,0.4837987866353345,0.00858283694833517,33.16778026201064,,33.16778026201064,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0002,cross,1.6176147892626922,28.276237128054436,0.5108326251564299,0.005066320300102234,16.920545729983132,,16.920545729983132,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0003,cross,1.3804864952301412,26.232579376108113,0.420824977252342,0.008290075697004795,40.59329572803108,,40.59329572803108,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0004,cross,1.8972700059200436,25.08439790822444,0.35164767730020946,0.009583807550370693,31.113765763002448,,31.113765763002448,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0005,cross,2.65741786049603,26.920113387812982,0.3704700021095438,0.007138524670153856,26.140032863011584,,26.140032863011584,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0006,cross,1.0046084407825557,28.700274332226286,0.6317065810062819,0.0042236982844769955,14.560733573976904,,14.560733573976904,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0007,cross,3.908342291731974,28.011398513948276,0.4375973722412918,0.004589391406625509,16.018836992036086,,16.018836992036086,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0008,cross,1.3575226705934338,26.63856315205866,0.44801611683721915,0.007568177301436663,21.523540835012682,,21.523540835012682,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0009,cross,2.9236328476177995,28.22037121777391,0.4457545746592817,0.004770071245729923,14.403103599965107,,14.403103599965107,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0010,cross,1.9012883283741207,29.257036828411827,0.5361545782402288,0.0040628924034535885,37.47081501199864,,37.47081501199864,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0011,cross,1.162586872595438,26.65990518456287,0.4318796175933745,0.007651313208043575,26.95133456599433,,26.95133456599433,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0012,cross,1.8579547387638795,28.976251711827622,0.5122316757474286,0.004705946426838636,23.860273761034478,,23.860273761034478,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0013,cross,2.9069791272261667,27.027821454750523,0.35177281380870806,0.00670144148170948,51.07073505100561,,51.07073505100561,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,cross_test_0014,cross,1.1393331400301698,27.137016786550486,0.5360180730250715,0.005990430247038603,14.209934020007495,,14.209934020007495,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0000,L-shape,1.3004548199807677,25.03122147221724,0.3874670377494061,0.009870066307485104,33.038827317010146,,33.038827317010146,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0001,L-shape,1.3760640104565214,26.277067435221678,0.48014943757568523,0.006629759445786476,27.99943358200835,,27.99943358200835,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0002,L-shape,1.251128555932299,26.307901263690145,0.4438899245839444,0.008506657555699348,28.181163589993957,,28.181163589993957,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0003,L-shape,1.0870091331090435,27.125966952525978,0.5055314379896567,0.007135511375963688,27.298574114975054,,27.298574114975054,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0004,L-shape,1.0923901191863445,25.396607414747127,0.41935149837114366,0.010601084679365158,86.90132613998139,,86.90132613998139,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0005,L-shape,1.3069354444102925,25.977178108511474,0.43346669670823296,0.008533542044460773,25.960176354041323,,25.960176354041323,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0006,L-shape,2.3518611520403985,27.446963818862077,0.4425863712334385,0.005604410544037819,19.783084096969105,,19.783084096969105,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0007,L-shape,1.2092779454227247,26.174260037443673,0.434415308474186,0.008597228676080704,38.17883891897509,,38.17883891897509,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0008,L-shape,1.4253991421948642,28.93504333199147,0.5565402701431611,0.004726794082671404,20.549706220976077,,20.549706220976077,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
T01_BP,BP,0,L_shape_test_0009,L-shape,1.2531762033179583,25.423118592766592,0.408100992078152,0.009803161956369877,79.867210951983,,79.867210951983,workspace.eval.task_real_struc_003a_table1.true_bp_exact_k_domain
