method,speedup_vs_BP_mean
BP,1.0
ref3,84.16604079504698
ref5,63.047615552994145
ref7,50.19647316937701
ref9,41.904579876928366
ref31,14.486956504608054
ref3 + residual U-Net,83.92522719014535
ref3 + ReMiC-Net R04,83.68036772040712
