variant,num_seeds,NMSE_mean,NMSE_std,NMSE_best,NMSE_worst,PSNR_mean,PSNR_std,PSNR_best,PSNR_worst,SSIM_mean,SSIM_std,SSIM_best,SSIM_worst,MAE_mean,MAE_std,MAE_best,MAE_worst
F01_bounded_generic_film,3,1.0074828842116628,0.015121003299615451,0.9940828255680314,1.028615374600147,30.12480830438408,0.06383713248274281,30.181728042782005,30.035661725264717,0.4808784765361062,0.0018978928422526955,0.48355852870079546,0.47941201407877704,0.0018734230542516647,0.00038277991898509665,0.0015625720500247553,0.00241265767486766
F02_residual_film_gate,3,0.9995725102590735,0.009213814429205961,0.9905755597187956,1.012233872594192,30.158220265273645,0.039563431456355186,30.197065309086994,30.10392376178676,0.48392316155317916,0.002882641947818559,0.487808962686208,0.48091262384563854,0.0019748848992943145,0.00035121770016154096,0.001540290773846209,0.0024004528648220004
F03_reference_surface_gated_film,3,1.0009545514940035,0.009997376897212272,0.9914587813905968,1.0147740449943121,30.152493560899327,0.042513995810443454,30.193159160713886,30.09380855762057,0.4834317829396803,0.0014359085599066352,0.48534149284427647,0.481879009808335,0.002102571741173354,0.0005484993461009083,0.0017083528146031313,0.0028782318742014467
F04_dual_path_film,3,0.9971847480888121,0.00956891770073219,0.9862909065278974,1.0095843259857498,30.172605613135982,0.037459035372694516,30.217348952821247,30.12567189610799,0.491350544826574,0.005960718168007564,0.49706919714288733,0.48312763745979687,0.0020743776200106367,0.00029210734574287216,0.0016626022045966237,0.002308915067696944
F05_delta_conditioned_film,3,1.0037995914241982,0.016263275273339314,0.9906589759635525,1.0267172033026426,30.140677094024138,0.06908237947681643,30.196659956671155,30.043345904634624,0.4825387874246583,0.002038041500715857,0.48466276794057306,0.47978950649406293,0.001953506170830224,0.00048749248268232815,0.001595417293428909,0.0026427492452785373
G00_generic_film_sincos_Pcyc,3,1.0023837660949264,0.018430011805376404,0.9859628564330265,1.0281231483638649,30.147240166342936,0.07812602990302635,30.217341978633737,30.038231050661526,0.48379684111811044,0.0031473128109649274,0.4878757656076377,0.4802146059958152,0.00207702842541039,0.0006287652474264465,0.001582129153830465,0.0029642628983128816
G01_generic_film_scalar_Pcyc,3,1.0071685000203208,0.014147025682717014,0.9951044627221407,1.0270226659900072,30.125879446739976,0.05995348529861705,30.177219967651162,30.041773377197806,0.4817636581135167,0.0022550621392993008,0.48405548156116973,0.47869716917391814,0.0019690859781500577,0.00023414580654504522,0.001803411157161463,0.002300218129530549
R00_rsbfilm_sincos_env_absPcyc,3,0.9988600351922133,0.010211336761960987,0.9873309133755126,1.012155639208993,30.16280506059392,0.04216715888593535,30.211304859155124,30.10850634956627,0.4863275018009405,0.004050065886305866,0.49107333843434486,0.4811774759040561,0.002133723206934519,0.0007442347138942782,0.0015618811317835934,0.0031848732591606677
R01_rsbfilm_env_absDelta,3,1.0051937018305426,0.015129133232556618,0.9929573853058598,1.0265118741383874,30.134625655244744,0.06402313645647902,30.186572859288987,30.044429323628055,0.4819513848949552,0.0015652109415829666,0.4840791901014977,0.4803591247520061,0.001898240398732014,0.00039348129880222027,0.001544930240197573,0.0024472128797788173
R02_rsbfilm_env_maxPcycDelta,3,1.004013158910486,0.013445456748404942,0.9930949405563677,1.02295428728864,30.13951455359023,0.05715113758004471,30.186017200304626,30.059013717776974,0.48193251571175577,0.0011098951399413186,0.48338566007153283,0.4806920569347136,0.0019291498679861734,0.0005118616151590768,0.0015384471649304032,0.002652248335070908
R03_rsbfilm_env_avgPcycDelta,3,1.0033496389565897,0.02157804257075533,0.9842326365526383,1.0335072431995593,30.143601627715928,0.09128965078010651,30.22498412135104,30.016115405199148,0.4835300248285494,0.005274312274298393,0.48870572846825994,0.4762906545656868,0.0022451723178771015,0.000811908187056746,0.001668740596214775,0.0033933807420544328
R04_rsbfilm_env_productPcycDelta,3,1.0011023935477104,0.015592364067288228,0.98620742213451,1.022631342095942,30.152393901022617,0.06649376705812711,30.216470023710436,30.060750307533254,0.4848111224795926,0.0031191728571786695,0.4891691720408025,0.48204098689214275,0.0019695788591828508,0.00034727272703200137,0.0017097833839943633,0.002460416001267731
R05_rsbfilm_env_softPcyc,3,1.0059811906979201,0.013842298360938693,0.992964279944036,1.0251519468803607,30.13150488267189,0.057993751805919196,30.186542233553865,30.051326161857673,0.481907186114411,0.002048862405794189,0.4841163366836828,0.4791788817703167,0.00210257831873605,0.0006582342750077142,0.001550973324046936,0.00302777090575546
