variant,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample
G00_generic_film_sincos_Pcyc,0,line_test_0000,line,1.0119639791223105,30.7893631818801,0.5210125312110073,0.0021971703972667456,0.027720212005078793
G00_generic_film_sincos_Pcyc,0,line_test_0001,line,0.9954512673380049,25.93002416843287,0.2669907785481008,0.004791960585862398,0.0018893590022344142
G00_generic_film_sincos_Pcyc,0,line_test_0002,line,1.0068776756262834,30.172533140966657,0.48889713717933364,0.0027908070478588343,0.0017850620060926303
G00_generic_film_sincos_Pcyc,0,line_test_0003,line,1.1018232735731814,33.489995763965716,0.6578466259547397,0.0023783836513757706,0.0017543069989187643
G00_generic_film_sincos_Pcyc,0,line_test_0004,line,1.0541319468935968,36.409456804769356,0.7931255307534656,0.001335995038971305,0.0017404539976269007
G00_generic_film_sincos_Pcyc,0,line_test_0005,line,1.0293649179351885,32.291316993282045,0.6022946085025366,0.0018875858513638377,0.0018111190001945943
G00_generic_film_sincos_Pcyc,0,line_test_0006,line,1.0510319360838567,31.382882148798792,0.5506803685135158,0.0023812116123735905,0.0017510949983261526
G00_generic_film_sincos_Pcyc,0,line_test_0007,line,1.015924664966893,29.72028735578047,0.467244067188292,0.0023801932111382484,0.0018618870089994743
G00_generic_film_sincos_Pcyc,0,line_test_0008,line,1.001181592747782,25.815617326988722,0.2535932233797083,0.004241458605974913,0.0017384289967594668
G00_generic_film_sincos_Pcyc,0,line_test_0009,line,1.002213525877354,30.197217159628686,0.4898904412697987,0.002450686413794756,0.0017942030099220574
G00_generic_film_sincos_Pcyc,0,line_test_0010,line,1.0292974343397474,32.29426656049021,0.6034777694930784,0.0020472186151891947,0.001817901007598266
G00_generic_film_sincos_Pcyc,0,line_test_0011,line,1.0024682411264354,27.7361831004631,0.3511314503248723,0.0032080484088510275,0.0017878890066640452
G00_generic_film_sincos_Pcyc,0,line_test_0012,line,1.0071839996121659,29.650831410217215,0.45879102649132114,0.0027317029889672995,0.0017373299924656749
G00_generic_film_sincos_Pcyc,0,line_test_0013,line,1.0040451534079498,26.99620300020603,0.3308900951982406,0.003548532724380493,0.0017822899972088635
G00_generic_film_sincos_Pcyc,0,line_test_0014,line,1.0355720516604212,34.67815771346442,0.7227666539113506,0.0014806619146838784,0.0018192699935752898
G00_generic_film_sincos_Pcyc,0,line_test_0015,line,1.0779159958687963,35.0632465450316,0.7363341417906268,0.0016958308406174183,0.001794289011741057
G00_generic_film_sincos_Pcyc,0,line_test_0016,line,1.0011321505486999,28.19809644863207,0.38034537356767634,0.00350561342202127,0.0017567419999977574
G00_generic_film_sincos_Pcyc,0,line_test_0017,line,1.027562339128674,31.97692098127763,0.5860209147243585,0.0018584319623187184,0.0017872650059871376
G00_generic_film_sincos_Pcyc,0,line_test_0018,line,1.0155846228952268,29.301442315717345,0.43518558328665446,0.002871268428862095,0.0017359810008201748
G00_generic_film_sincos_Pcyc,0,line_test_0019,line,1.0122427266385234,29.24824200088558,0.4370414670262087,0.0025055508594959974,0.0017276389990001917
G00_generic_film_sincos_Pcyc,0,cross_test_0000,cross,1.0466861659647135,31.982199874184197,0.5832768923867256,0.00242064637131989,0.001730463991407305
G00_generic_film_sincos_Pcyc,0,cross_test_0001,cross,1.0056376708672674,26.476258698482166,0.28160123177042645,0.004083062056452036,0.0017552769859321415
G00_generic_film_sincos_Pcyc,0,cross_test_0002,cross,1.0201554369698052,30.27832475727713,0.4898790397650225,0.0023308703675866127,0.0017472430045017973
G00_generic_film_sincos_Pcyc,0,cross_test_0003,cross,0.9894494460924784,27.678964740034743,0.3575294095998692,0.0036850362084805965,0.0017411890003131703
G00_generic_film_sincos_Pcyc,0,cross_test_0004,cross,1.001021124911943,27.861256984301455,0.36218062935101014,0.0036600218154489994,0.0017853090103017166
G00_generic_film_sincos_Pcyc,0,cross_test_0005,cross,1.0307859245117255,31.033026973010635,0.5309485537157226,0.002749355509877205,0.0017370419955113903
G00_generic_film_sincos_Pcyc,0,cross_test_0006,cross,1.006676160929448,28.691344828990665,0.4000086739577235,0.0026776562444865704,0.001739958010148257
G00_generic_film_sincos_Pcyc,0,cross_test_0007,cross,1.0465156481664788,33.733867360658564,0.6771127779247111,0.0017244600458070636,0.001784802007023245
G00_generic_film_sincos_Pcyc,0,cross_test_0008,cross,0.9942248118528593,27.991188154954934,0.37538175997787887,0.003892111824825406,0.0017332800052827224
G00_generic_film_sincos_Pcyc,0,cross_test_0009,cross,1.033778615708406,32.73532409076275,0.62603013058862,0.0018495277035981417,0.0017232389946002513
G00_generic_film_sincos_Pcyc,0,cross_test_0010,cross,1.0428907042688866,31.865128708981626,0.5770154431312066,0.0023642946034669876,0.0017484690033597872
G00_generic_film_sincos_Pcyc,0,cross_test_0011,cross,1.0173706906772837,27.23936677596132,0.33318343810657886,0.004700935911387205,0.0017400700016878545
G00_generic_film_sincos_Pcyc,0,cross_test_0012,cross,1.0282298469473454,31.545700772123855,0.5618536511120927,0.0021716419141739607,0.0017323729989584535
G00_generic_film_sincos_Pcyc,0,cross_test_0013,cross,1.0199595397373462,31.576411173211664,0.5643005531482591,0.0025970612186938524,0.0017252849938813597
G00_generic_film_sincos_Pcyc,0,cross_test_0014,cross,1.001683216958419,27.69622009302219,0.3492093687831489,0.0032190950587391853,0.0018018499977188185
G00_generic_film_sincos_Pcyc,0,L_shape_test_0000,L-shape,0.9996693319751222,26.173610581525356,0.2804483894211163,0.004862349480390549,0.0017154060042230412
G00_generic_film_sincos_Pcyc,0,L_shape_test_0001,L-shape,1.0050411392669787,27.641615077217324,0.3435653155055549,0.0032025743275880814,0.00172517700411845
G00_generic_film_sincos_Pcyc,0,L_shape_test_0002,L-shape,1.0083171429549038,27.24494922250657,0.3289945159132087,0.004273845814168453,0.0017190449871122837
G00_generic_film_sincos_Pcyc,0,L_shape_test_0003,L-shape,1.0048725133111776,27.4671892722385,0.33646453689410444,0.0038004424422979355,0.001743676999467425
G00_generic_film_sincos_Pcyc,0,L_shape_test_0004,L-shape,0.9980317329021796,25.78894155702774,0.25731525233890107,0.005040046758949757,0.0017311310075456277
G00_generic_film_sincos_Pcyc,0,L_shape_test_0005,L-shape,1.0020034503191793,27.131027262859718,0.32147975941827955,0.003874380374327302,0.0017668350046733394
G00_generic_film_sincos_Pcyc,0,L_shape_test_0006,L-shape,1.0134946006094063,31.102866075794616,0.5382188464972444,0.002126833191141486,0.0017316300072707236
G00_generic_film_sincos_Pcyc,0,L_shape_test_0007,L-shape,1.002202482497958,26.989966794321674,0.3134806536951644,0.004116603638976812,0.0017619349964661524
