variant,seed,parameter_count,peak_gpu_memory_mb,checkpoint_local
F01_bounded_generic_film,1,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_1/checkpoint_best.pt
F01_bounded_generic_film,2,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_2/checkpoint_best.pt
F02_residual_film_gate,0,36701,153.47998046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F02_residual_film_gate/seed_0/checkpoint_best.pt
F02_residual_film_gate,1,36701,153.47998046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F02_residual_film_gate/seed_1/checkpoint_best.pt
F02_residual_film_gate,2,36701,153.47998046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F02_residual_film_gate/seed_2/checkpoint_best.pt
F03_reference_surface_gated_film,0,36701,154.59423828125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F03_reference_surface_gated_film/seed_0/checkpoint_best.pt
F03_reference_surface_gated_film,1,36701,154.59423828125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F03_reference_surface_gated_film/seed_1/checkpoint_best.pt
F03_reference_surface_gated_film,2,36701,154.59423828125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F03_reference_surface_gated_film/seed_2/checkpoint_best.pt
F04_dual_path_film,0,37533,155.20166015625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F04_dual_path_film/seed_0/checkpoint_best.pt
F04_dual_path_film,1,37533,155.20166015625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F04_dual_path_film/seed_1/checkpoint_best.pt
F04_dual_path_film,2,37533,155.20166015625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F04_dual_path_film/seed_2/checkpoint_best.pt
F05_delta_conditioned_film,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F05_delta_conditioned_film/seed_0/checkpoint_best.pt
F05_delta_conditioned_film,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F05_delta_conditioned_film/seed_1/checkpoint_best.pt
F05_delta_conditioned_film,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F05_delta_conditioned_film/seed_2/checkpoint_best.pt
