variant,seed,bin,n,NMSE,MAE,SSIM
F01_bounded_generic_film,0,abs_Pcyc_gt_0p25,100,0.9907159446664312,0.8266370749473572,0.5596534286371977
F01_bounded_generic_film,0,abs_Pcyc_le_0p25,100,0.9902368941762848,0.8344371884139543,0.7548998133080229
F01_bounded_generic_film,0,large,100,0.9904135135242964,0.829480508963267,0.7219633774312684
F01_bounded_generic_film,0,medium,100,0.9914259984959777,0.8300434589385987,0.7250607517344133
F01_bounded_generic_film,0,small,100,0.9896332843654325,0.8294136655330658,0.7059532501185182
F01_bounded_generic_film,1,abs_Pcyc_gt_0p25,100,0.9971591817138044,0.8293753832578659,0.5569754755340444
F01_bounded_generic_film,1,abs_Pcyc_le_0p25,100,0.9972756107955718,0.837437810357084,0.753224488302017
F01_bounded_generic_film,1,large,100,0.9972051078782784,0.8322722093023435,0.7201278480045527
F01_bounded_generic_film,1,medium,100,0.9972358603285446,0.8325138056278228,0.7234782864824274
F01_bounded_generic_film,1,small,100,0.9972729900222365,0.832571558356285,0.7040196882878818
F01_bounded_generic_film,2,abs_Pcyc_gt_0p25,100,0.9913088114761988,0.8269158565998077,0.559691740861657
F01_bounded_generic_film,2,abs_Pcyc_le_0p25,100,0.9908726783591981,0.8346729210971557,0.7549315690243164
F01_bounded_generic_film,2,large,100,0.9909108043968798,0.8296649046618529,0.7219330976297512
F01_bounded_generic_film,2,medium,100,0.9915640482647851,0.8301547938585281,0.7251933722323095
F01_bounded_generic_film,2,small,100,0.9910811398533003,0.8299212461709976,0.7060243506980528
F02_residual_film_gate,0,abs_Pcyc_gt_0p25,100,0.9863236809624361,0.8247563046216965,0.5618169459802616
F02_residual_film_gate,0,abs_Pcyc_le_0p25,100,0.9858662438636677,0.8325703973622666,0.7561270178319325
F02_residual_film_gate,0,large,100,0.986522457776665,0.8277284250114904,0.7231862575330781
F02_residual_film_gate,0,medium,100,0.9863705421981098,0.8279304212331772,0.7266349558527488
F02_residual_film_gate,0,small,100,0.985635996655639,0.8276546305418014,0.7074501933176427
F02_residual_film_gate,1,abs_Pcyc_gt_0p25,100,0.9897122385688151,0.8261443847417831,0.5600874450768587
F02_residual_film_gate,1,abs_Pcyc_le_0p25,100,0.9887520353513131,0.8338321748468065,0.7550158095485628
F02_residual_film_gate,1,large,100,0.9891732525064896,0.8288940594653891,0.722215628074579
F02_residual_film_gate,1,medium,100,0.9903745347039669,0.8295295858383178,0.7254067160718158
F02_residual_film_gate,1,small,100,0.9893179208385585,0.8292379486560821,0.7060447288767433
F02_residual_film_gate,2,abs_Pcyc_gt_0p25,100,0.9954356054217064,0.8286550688743591,0.5578101653394213
F02_residual_film_gate,2,abs_Pcyc_le_0p25,100,0.9954044352907548,0.8366001389690281,0.7537617303934461
F02_residual_film_gate,2,large,100,0.9954330298629643,0.8315386922672542,0.7206819030561838
F02_residual_film_gate,2,medium,100,0.9955609507470541,0.8318368071317672,0.7240319199459894
F02_residual_film_gate,2,small,100,0.9955786657774,0.8318291783332825,0.7046311926137773
F03_reference_surface_gated_film,0,abs_Pcyc_gt_0p25,100,0.9885959982612452,0.8257560008764266,0.5607568438106192
F03_reference_surface_gated_film,0,abs_Pcyc_le_0p25,100,0.9881088190040687,0.8335467706021574,0.7555025267779005
F03_reference_surface_gated_film,0,large,100,0.9890093299129353,0.8288096665131925,0.722460682831356
F03_reference_surface_gated_film,0,medium,100,0.9884306620306222,0.8288237702846527,0.7259552507905198
F03_reference_surface_gated_film,0,small,100,0.9877816510418779,0.8285742664337158,0.7067483318358205
F03_reference_surface_gated_film,1,abs_Pcyc_gt_0p25,100,0.9863517533019914,0.8246699458360672,0.5615844605961504
