ood_split,dataset_dir,variant,seed,NMSE_mean,PSNR_mean,SSIM_mean,MAE_mean,runtime_with_ref3_per_sample_mean,num_samples,status
Leave-One-Family-Out OOD,leave_one_family_out_ood,G00_generic_film_sincos_Pcyc,0,1.0319169496765523,31.35533831853755,0.5527542004873789,0.0027226126194000244,0.382304442969762,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,G00_generic_film_sincos_Pcyc,1,0.9956383197760007,31.51042057368818,0.5612666583819691,0.0011473502992885188,0.38229101336954047,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,G00_generic_film_sincos_Pcyc,2,0.9901789606965979,31.534305186641337,0.5645297351953752,0.0012653628265252336,0.3822919168094813,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,G01_generic_film_scalar_Pcyc,0,0.9964675019337911,31.506795093114825,0.5625221466265463,0.0013919114938471466,0.382293608381151,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,G01_generic_film_scalar_Pcyc,1,0.9989055387135601,31.49619523448915,0.5617100538236391,0.0013646085129585116,0.38229695323025226,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,G01_generic_film_scalar_Pcyc,2,1.025790104345886,31.38092101219513,0.5561891174817397,0.0018641355144791306,0.3827003956898989,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R00_rsbfilm_sincos_env_absPcyc,0,1.0280109645984121,31.37232063860659,0.554315142160288,0.0030492228153161703,0.3824944260610209,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R00_rsbfilm_sincos_env_absPcyc,1,0.9964036795394431,31.507087388380697,0.5605888337290308,0.0011120384139940143,0.38244306549036994,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R00_rsbfilm_sincos_env_absPcyc,2,0.990276353146095,31.53388501751179,0.5643808405749599,0.0012373111670603975,0.38243637130100977,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R01_rsbfilm_env_absDelta,0,1.0277636399503938,31.372780641985386,0.557117411350632,0.0022294510039500893,0.38245125515080874,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R01_rsbfilm_env_absDelta,1,0.9967603790415355,31.505529103380056,0.5602473178302312,0.0010906037333188578,0.3824474769392691,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R01_rsbfilm_env_absDelta,2,0.993701302632013,31.51886464472998,0.5628112549940343,0.001266897345194593,0.38245015350024913,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R02_rsbfilm_env_maxPcycDelta,0,1.0248858244804004,31.384884898411627,0.5560899720280015,0.0024340255348943175,0.38244418517977463,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R02_rsbfilm_env_maxPcycDelta,1,0.9980406685331582,31.499970342252283,0.5597242501765991,0.0010953267273725942,0.382454104549397,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R02_rsbfilm_env_maxPcycDelta,2,0.9944636412726104,31.51556411089069,0.5622477373004162,0.0011834659555461258,0.38246066904976034,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R03_rsbfilm_env_avgPcycDelta,0,1.0368404019492705,31.334725707867616,0.546756453240919,0.003182622827589512,0.3824603683000896,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R03_rsbfilm_env_avgPcycDelta,1,0.9938232058375727,31.518439865670565,0.564591745696689,0.0013364019867731257,0.3824511800604523,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R03_rsbfilm_env_avgPcycDelta,2,0.9896387970857411,31.536695533117367,0.5648615724464849,0.0012551144609460607,0.38245999811013465,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R04_rsbfilm_env_productPcycDelta,0,1.0245079998380024,31.3865295157905,0.5582260439805523,0.002245245383819565,0.3824858851294266,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R04_rsbfilm_env_productPcycDelta,1,0.990566062835508,31.532643978278152,0.5656429800468628,0.0013690219959244132,0.3824979796691332,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R04_rsbfilm_env_productPcycDelta,2,0.9955308175763159,31.510874113380478,0.5620657206060242,0.0012780824571382255,0.38247094603968435,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R05_rsbfilm_env_softPcyc,0,1.0307484698763836,31.360336628900086,0.5533670583161904,0.0028014368563890456,0.3824770398206601,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R05_rsbfilm_env_softPcyc,1,0.999012695196097,31.495714816010658,0.558834168298358,0.001062834716285579,0.3825773841908085,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,R05_rsbfilm_env_softPcyc,2,0.9951144454888133,31.512693319639194,0.5623538043757371,0.001304664798080921,0.382483396530879,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F01_bounded_generic_film,0,1.0301517494298076,31.36268841090003,0.5560803791082441,0.002144777359208092,0.3824273132914095,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F01_bounded_generic_film,1,0.9998840431010443,31.491935179517686,0.5586112247799825,0.001071361104841344,0.38242830316987236,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F01_bounded_generic_film,2,0.9951890049863316,31.51238366381913,0.5616737647935026,0.0011783525405917317,0.3824092667805962,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F02_residual_film_gate,0,0.9935647839627447,31.519481239449057,0.564647771681035,0.0015898281277623029,0.3826708006807894,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F02_residual_film_gate,1,1.0149021629965578,31.427259255431053,0.5591090011744718,0.002096715277293697,0.38265732801082775,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F02_residual_film_gate,2,0.9983029376318211,31.498781575610042,0.5588851957581716,0.0010426380060380325,0.3826440577601897,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F03_reference_surface_gated_film,0,0.9925268840486468,31.524014004506704,0.5637008426325496,0.0012895670376019553,0.3827232537099917,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F03_reference_surface_gated_film,1,1.021288379312099,31.40026754847645,0.5557760606520177,0.0025971155194565655,0.3827137800907076,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F03_reference_surface_gated_film,2,0.9971219088807106,31.50392736973562,0.5607756647368656,0.0012270449672359973,0.38271135568022147,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F04_dual_path_film,0,0.9956709385978438,31.51031331269053,0.562450260353937,0.0012518943648319692,0.3829651332805224,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F04_dual_path_film,1,1.0098384185697733,31.45033685410401,0.568297320275293,0.0021686608297750353,0.38296651136071885,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F04_dual_path_film,2,0.9986178728759526,31.497889266509603,0.5685563153346824,0.002102482196642086,0.3829658362201008,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F05_delta_conditioned_film,0,1.0278684341664586,31.372270437969846,0.555602431741706,0.002390733981737867,0.3824782499697176,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F05_delta_conditioned_film,1,0.9955600746451608,31.510773303732652,0.5614060371701101,0.0011558309983229265,0.38245800008968217,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,F05_delta_conditioned_film,2,0.9921105745097654,31.525842726588902,0.563525719921087,0.001228926022304222,0.3824479099013843,100,evaluated
Random-ET OOD,random_et_ood,G00_generic_film_sincos_Pcyc,0,1.2127927794645803,28.51792831940926,0.3263850399804965,0.008815495318267495,1.675328921780747,100,evaluated
Random-ET OOD,random_et_ood,G00_generic_film_sincos_Pcyc,1,1.0653468704479385,29.036700533394807,0.41589353934509143,0.003493269440950826,1.6752480265512713,100,evaluated
Random-ET OOD,random_et_ood,G00_generic_film_sincos_Pcyc,2,1.1914143958800338,28.65624661824409,0.38454764857187984,0.005205746978754177,1.6752602487009427,100,evaluated
Random-ET OOD,random_et_ood,G01_generic_film_scalar_Pcyc,0,1.143559550239344,28.804342811989844,0.40231396747753245,0.003929547764128074,1.6753025332502147,100,evaluated
Random-ET OOD,random_et_ood,G01_generic_film_scalar_Pcyc,1,1.1825161258677641,28.650878640927562,0.37867594494150686,0.005445738740963862,1.6753061156404145,100,evaluated
Random-ET OOD,random_et_ood,G01_generic_film_scalar_Pcyc,2,1.390650670205656,28.077825224390818,0.32490731022721336,0.007817983155837283,1.6752880555701268,100,evaluated
Random-ET OOD,random_et_ood,R00_rsbfilm_sincos_env_absPcyc,0,1.193270098848329,28.581688540167193,0.3337828459706551,0.008644546859432011,1.6754678286302078,100,evaluated
Random-ET OOD,random_et_ood,R00_rsbfilm_sincos_env_absPcyc,1,1.1242524684697417,28.841838234338173,0.39841196607332924,0.00457619424443692,1.6754688784494647,100,evaluated
Random-ET OOD,random_et_ood,R00_rsbfilm_sincos_env_absPcyc,2,1.2397678675404185,28.55347863800241,0.38657869622441365,0.004473478576401248,1.675454555379838,100,evaluated
Random-ET OOD,random_et_ood,R01_rsbfilm_env_absDelta,0,1.1594528233845889,28.692066397876815,0.3629437220530988,0.006897612768225372,1.6752931950199126,100,evaluated
Random-ET OOD,random_et_ood,R01_rsbfilm_env_absDelta,1,1.1155673554298513,28.872758241682,0.4025662848989726,0.004318637242540717,1.6752862756003741,100,evaluated
Random-ET OOD,random_et_ood,R01_rsbfilm_env_absDelta,2,1.2169794270709415,28.597180021753264,0.3820140811327549,0.005101558824535459,1.6753203825300442,100,evaluated
Random-ET OOD,random_et_ood,R02_rsbfilm_env_maxPcycDelta,0,1.1480386997717575,28.7300544874976,0.36433302772496406,0.0069195253914222125,1.6753023566097545,100,evaluated
Random-ET OOD,random_et_ood,R02_rsbfilm_env_maxPcycDelta,1,1.1208127199682696,28.85468284054928,0.39805904610684245,0.004717188273789361,1.6753022315504495,100,evaluated
Random-ET OOD,random_et_ood,R02_rsbfilm_env_maxPcycDelta,2,1.2250952377246602,28.59612155684065,0.38967107867333467,0.0042491886345669624,1.6752847962998203,100,evaluated
Random-ET OOD,random_et_ood,R03_rsbfilm_env_avgPcycDelta,0,1.1852838898002789,28.60575300258754,0.3462880303831665,0.007757346683647483,1.6752982643399446,100,evaluated
Random-ET OOD,random_et_ood,R03_rsbfilm_env_avgPcycDelta,1,1.1157297968047777,28.869815284081437,0.40027187842148426,0.004771259367698804,1.6753120751684765,100,evaluated
Random-ET OOD,random_et_ood,R03_rsbfilm_env_avgPcycDelta,2,1.2018054519609642,28.647505091708016,0.3906304868442143,0.004488795357756317,1.6753005576897704,100,evaluated
Random-ET OOD,random_et_ood,R04_rsbfilm_env_productPcycDelta,0,1.1226700709903246,28.813132212699603,0.37607334427547806,0.00639543724944815,1.675289348270162,100,evaluated
Random-ET OOD,random_et_ood,R04_rsbfilm_env_productPcycDelta,1,1.1183373491780828,28.862085669200567,0.39728889476311985,0.004981069704517722,1.6753023741708604,100,evaluated
Random-ET OOD,random_et_ood,R04_rsbfilm_env_productPcycDelta,2,1.2291051255960384,28.568515754260645,0.38348644860347747,0.004807544976938516,1.6752915475402552,100,evaluated
Random-ET OOD,random_et_ood,R05_rsbfilm_env_softPcyc,0,1.1608429165683918,28.685733797383687,0.3582582405975646,0.0072437669662758705,1.6752810880205653,100,evaluated
Random-ET OOD,random_et_ood,R05_rsbfilm_env_softPcyc,1,1.0496292037840262,29.086130993245757,0.41886619530325425,0.0030466299678664653,1.6752865900103644,100,evaluated
Random-ET OOD,random_et_ood,R05_rsbfilm_env_softPcyc,2,1.3015353731194654,28.404931465855224,0.3763168358243448,0.0048593752377200875,1.6752913180201723,100,evaluated
Random-ET OOD,random_et_ood,F01_bounded_generic_film,0,1.1958951794042176,28.579414980204955,0.3565005156703777,0.006989803228061646,1.675250737650349,100,evaluated
Random-ET OOD,random_et_ood,F01_bounded_generic_film,1,1.1450615765997691,28.780600371920915,0.39610283773757243,0.004235053138108924,1.6752487724996172,100,evaluated
Random-ET OOD,random_et_ood,F01_bounded_generic_film,2,1.265898920393917,28.482144985738284,0.37756509150796214,0.004856184280943126,1.6752633004997914,100,evaluated
Random-ET OOD,random_et_ood,F02_residual_film_gate,0,1.0880581582058317,28.952791884239627,0.40762288017361703,0.004175418926170096,1.6755142885613896,100,evaluated
Random-ET OOD,random_et_ood,F02_residual_film_gate,1,1.1353968137173849,28.783966314284672,0.3719104539769763,0.006625642562285066,1.6755094196699793,100,evaluated
Random-ET OOD,random_et_ood,F02_residual_film_gate,2,1.0384589299281317,29.127109142926017,0.42071972930402957,0.0027105788560584185,1.6754930870595854,100,evaluated
Random-ET OOD,random_et_ood,F03_reference_surface_gated_film,0,1.0891138492141266,28.94928840747257,0.40792569180828947,0.0038740647467784585,1.6755467521007814,100,evaluated
Random-ET OOD,random_et_ood,F03_reference_surface_gated_film,1,1.1277257853032026,28.80550130237016,0.38741904653925163,0.005597122735343874,1.6755589649009925,100,evaluated
Random-ET OOD,random_et_ood,F03_reference_surface_gated_film,2,1.0468567189699736,29.09517398893724,0.41947578283920817,0.0030896821699570864,1.67557593266014,100,evaluated
Random-ET OOD,random_et_ood,F04_dual_path_film,0,1.3180657466766001,28.345338167604197,0.35863183772491086,0.006262384479632601,1.6758555840795453,100,evaluated
Random-ET OOD,random_et_ood,F04_dual_path_film,1,1.301134921539651,28.322255988491587,0.3317847078749959,0.00854879643768072,1.6758571548303007,100,evaluated
Random-ET OOD,random_et_ood,F04_dual_path_film,2,1.19500980427651,28.63616654967866,0.36283412972967743,0.0071821152279153465,1.6758295811596327,100,evaluated
Random-ET OOD,random_et_ood,F05_delta_conditioned_film,0,1.1632615054099755,28.67828049305747,0.3598427181084722,0.007045922330580652,1.6753112147693172,100,evaluated
Random-ET OOD,random_et_ood,F05_delta_conditioned_film,1,1.1195487091027436,28.853554541497825,0.40025181229341295,0.004448564251651988,1.6753182017797372,100,evaluated
Random-ET OOD,random_et_ood,F05_delta_conditioned_film,2,1.2405003083889312,28.552138898188513,0.38133286420988777,0.005089060926111415,1.6753144555696053,100,evaluated
Unseen-Parameter OOD,unseen_param_ood,G00_generic_film_sincos_Pcyc,0,1.0040947246574712,26.976556100448242,0.31428705210002833,0.003891647830605507,0.5583891395501268,100,evaluated
Unseen-Parameter OOD,unseen_param_ood,G00_generic_film_sincos_Pcyc,1,0.9912167803793394,27.032591974580345,0.30727859787882317,0.0025275253655854613,0.5583945954903902,100,evaluated
Unseen-Parameter OOD,unseen_param_ood,G00_generic_film_sincos_Pcyc,2,0.9836587830923815,27.0658694928956,0.31407610140921116,0.002657083364902064,0.5583883865593816,100,evaluated
Unseen-Parameter OOD,unseen_param_ood,G01_generic_film_scalar_Pcyc,0,0.9938099804516867,27.0212345124816,0.30794095466733973,0.0027405838808044793,0.5583797020398197,100,evaluated
Unseen-Parameter OOD,unseen_param_ood,G01_generic_film_scalar_Pcyc,1,0.9963924228647321,27.009957858071203,0.30638337101952406,0.0027352512429933994,0.5583920969397878,100,evaluated
Unseen-Parameter OOD,unseen_param_ood,G01_generic_film_scalar_Pcyc,2,1.007194340028905,26.963157916463647,0.3077696903631944,0.0032338771969079973,0.5583760484791128,100,evaluated
