variant,seed,status,best_epoch,best_val_l1,parameter_count,peak_gpu_memory_mb,checkpoint_local
R05_rsbfilm_env_softPcyc,1,trained,47,0.0014474317476225013,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R05_rsbfilm_env_softPcyc/seed_1/checkpoint_best.pt
R05_rsbfilm_env_softPcyc,2,trained,46,0.0017022588693250257,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R05_rsbfilm_env_softPcyc/seed_2/checkpoint_best.pt
F01_bounded_generic_film,0,trained,44,0.0034736577743807663,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_0/checkpoint_best.pt
F01_bounded_generic_film,1,trained,47,0.0015494731174280436,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_1/checkpoint_best.pt
F01_bounded_generic_film,2,trained,46,0.0017240053499475694,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_2/checkpoint_best.pt
F02_residual_film_gate,0,trained,39,0.002090561534994497,36701,153.47998046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F02_residual_film_gate/seed_0/checkpoint_best.pt
F02_residual_film_gate,1,trained,47,0.002728767299021666,36701,153.47998046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F02_residual_film_gate/seed_1/checkpoint_best.pt
F02_residual_film_gate,2,trained,42,0.0016006036760070575,36701,153.47998046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F02_residual_film_gate/seed_2/checkpoint_best.pt
F03_reference_surface_gated_film,0,trained,47,0.002053307897697848,36701,154.59423828125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F03_reference_surface_gated_film/seed_0/checkpoint_best.pt
F03_reference_surface_gated_film,1,trained,45,0.0032975099300249265,36701,154.59423828125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F03_reference_surface_gated_film/seed_1/checkpoint_best.pt
F03_reference_surface_gated_film,2,trained,41,0.0016715890692117123,36701,154.59423828125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F03_reference_surface_gated_film/seed_2/checkpoint_best.pt
F04_dual_path_film,0,trained,40,0.0018810476265990962,37533,155.20166015625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F04_dual_path_film/seed_0/checkpoint_best.pt
F04_dual_path_film,1,trained,48,0.0031110356346918987,37533,155.20166015625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F04_dual_path_film/seed_1/checkpoint_best.pt
F04_dual_path_film,2,trained,41,0.002669348721750654,37533,155.20166015625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F04_dual_path_film/seed_2/checkpoint_best.pt
F05_delta_conditioned_film,0,trained,47,0.0033082760906276796,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F05_delta_conditioned_film/seed_0/checkpoint_best.pt
F05_delta_conditioned_film,1,trained,47,0.0015870895183000427,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F05_delta_conditioned_film/seed_1/checkpoint_best.pt
F05_delta_conditioned_film,2,trained,48,0.0016665032017044723,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F05_delta_conditioned_film/seed_2/checkpoint_best.pt
