dataset,model,NMSE_mean,NMSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,runtime_mean,runtime_std,speedup_vs_BP,num_samples
Unseen-Parameter OOD,Baseline-Ours,0.7230736649540205,0.07717040607013224,28.42733349683241,1.3985916598363899,0.5365899620903616,0.09162659628441074,0.5789431986073033,0.6098265502693565,7.833170985781229,100
Unseen-Parameter OOD,Ours-PC-P1,0.7231957561038438,0.06783665759198367,28.420998712853148,1.3760708210876416,0.5348916176182554,0.08439744332340317,0.5773227652022616,0.6095627074210488,7.863274927016652,100
Unseen-Parameter OOD,Ours-PC-P2A,0.7368393944560852,0.05904497604385288,28.33446315353381,1.3513110686385297,0.5192301591374132,0.07841070212942368,0.5767737594968639,0.6096964636269604,7.874996836472833,100
