dataset,model,NMSE_mean,NMSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,runtime_mean,runtime_std,speedup_vs_BP,num_samples
Random-ET OOD,Baseline-Ours,1.1516142067126878,0.16210937549354038,28.705446859064832,1.4213709950434121,0.34141921137759135,0.10253255620355631,1.6978271634480917,0.9814152503139602,5.0576646076013585,100
Random-ET OOD,Ours-PC-P1,1.122056198768353,0.11821737179193166,28.80258150374126,1.430279608308273,0.35101487178865953,0.09689908130156907,1.696113335157279,0.981148874060079,5.064835558589546,100
Random-ET OOD,Ours-PC-P2A,1.10094591204124,0.09893412183606519,28.879155187592833,1.4423170430198962,0.36117276034870843,0.09521046911687146,1.6958890769607387,0.9811236875146504,5.0655279824709565,100
