tip,x_m,y_m,z_m,rho_m,theta_rad,theta_deg,nearest_voxel_x,nearest_voxel_y,nearest_voxel_z,nearest_ref3_index,nearest_ref3_radius_m,dist_to_ref3_m,nearest_ref9_index,nearest_ref9_radius_m,dist_to_ref9_m
left upper tip,0.17431703727083475,0.007616566256710502,0.02789635042234408,0.17448335612437207,0.04366598284912193,2.5018765255453244,5,9,18,1,0.15,0.02448335612437208,5,0.19,0.015516643875627928
right upper tip,0.22798462471407197,0.020997398651344597,0.03665668046459701,0.22894951377135467,0.09184097137982894,5.262100046445983,16,12,21,2,0.3,0.07105048622864532,6,0.22,0.008949513771354667
lower tip,0.2084992445523151,0.025175470496338594,-0.0293422867667914,0.2100136645401868,0.12016436900546612,6.88491119186585,12,13,4,1,0.15,0.060013664540186806,6,0.22,0.0099863354598132
