epoch,train_l1
1,0.014239907902665437
2,0.011968202916905283
3,0.00913440588861704
4,0.005379377275239676
5,0.004539597553666681
6,0.0037429937068372966
7,0.003332407174166292
8,0.003130483424756676
9,0.002975260477978736
10,0.0027724314585793764
11,0.0026097472896799445
12,0.0025168430630583315
13,0.0024358592415228484
14,0.0023234692483674736
15,0.002302399061154574
16,0.0021758718660566958
17,0.0021218350576236843
18,0.0021049000963103024
19,0.002067657856969163
20,0.00202039489406161
21,0.0020917042903602122
22,0.0020567754935473205
23,0.0019742990552913398
24,0.001957572893006727
25,0.0018909286812413483
26,0.001940042634960264
27,0.001959443516097963
28,0.0018708115490153432
29,0.0018201669631525874
30,0.0017587179347174243
31,0.0017636891512665897
32,0.0017994793807156384
33,0.0016564218699932098
34,0.001709187436499633
35,0.0016867389332037418
36,0.0018442531605251133
37,0.001725452674436383
38,0.0016942379623651504
39,0.0017019755765795709
40,0.0016312053613364696
41,0.0016287744336295872
42,0.0017385142290731893
43,0.001635778431664221
44,0.0016673813288798555
45,0.0016278929042164237
46,0.0016619725513737648
47,0.0015943387377774342
48,0.0016308272909373045
49,0.0017605169164016843
50,0.0015013111621374265
