epoch,train_l1
1,0.20287443593144416
2,0.10923937752842904
3,0.027531373910605908
4,0.012099793469533325
5,0.012072952683083712
6,0.01205984629690647
7,0.012128938771784305
8,0.012063373094424606
9,0.01211832595989108
10,0.012108852788805961
11,0.01210121100768447
12,0.012065639444626868
13,0.01215575949754566
14,0.012122576599940657
15,0.012076096497476102
16,0.012134639164432883
17,0.012141862520948052
18,0.012160132229328156
19,0.012091891462914646
20,0.012127053998410702
21,0.01215960987843573
22,0.012077897470444441
23,0.012078101253136993
24,0.012092177551239728
25,0.012138875415548683
26,0.012139743636362254
27,0.012097666971385479
28,0.012130196234211325
29,0.012046648194082082
30,0.01207682717591524
31,0.01212376925162971
32,0.01216624626889825
33,0.012129322420805692
34,0.012068396164104343
35,0.012079244190827012
36,0.012162189902737737
37,0.012131538963876665
38,0.012129928353242576
39,0.012163519104942679
40,0.012125380570068955
41,0.012116810451261699
42,0.012116244393400848
43,0.012166690304875374
44,0.012094671935774386
45,0.012146864370442927
46,0.012166278171353042
47,0.012116240276955069
48,0.012146214209496974
49,0.01215079334564507
50,0.012126886490732432
