method,reference_count,wall_time_mean_sec,estimated_peak_memory_mb,speedup_vs_bp
ref3,3,0.617450694728177,28.085834622383118,3.963162174192967
ref5,5,0.7337589221606322,28.22769796848297,3.334960794166913
ref7,7,0.8450418007705593,28.369561314582825,2.8957824755467807
ref9,9,0.9836278771799698,28.511424660682678,2.487787601945073
BP,31,2.44705723777588,30.071921467781067,1.0
