subset,nmse_violation_count,psnr_violation_count,total_samples
all_samples,14,14,64
seam_subset,2,2,11
non_seam_subset,12,12,53
inner_radius_subset,3,3,23
outer_radius_subset,7,7,21
height_edge_subset,1,1,5
double_point_subset,4,4,8
