epoch,train_l1
1,0.23272030912339686
2,0.03104569410905242
3,0.01693726715631783
4,0.015200125426054001
5,0.013535798331722616
6,0.018689916459843515
7,0.011878524478524922
8,0.010855373232625426
9,0.009437573608011007
10,0.01096639284864068
11,0.009455882050096988
12,0.008798574502579868
13,0.008936455203220249
14,0.010713880672119558
15,0.008594669210724533
16,0.00814873683732003
17,0.008378416122868658
18,0.008162534292787314
19,0.008472700547426939
20,0.00786451340187341
21,0.007534568165428936
22,0.006708842096850276
23,0.007414746629074216
24,0.007819575271569193
25,0.0073482508305460215
26,0.006135576828382909
27,0.006992132752202451
28,0.006549109439365566
29,0.005951017481274903
30,0.008047678919974715
31,0.006774471742101013
32,0.006360263349488377
33,0.005496533522382378
34,0.0051433444186113775
35,0.005396035560406745
36,0.006142860176041722
37,0.006378033403307199
38,0.006493289778009057
39,0.004775342489592731
40,0.005185160015244037
41,0.00486157848732546
42,0.004949124329723418
43,0.004688752871006727
44,0.006486361338756979
45,0.005285653935279697
46,0.004487085717264563
47,0.005310586742125451
48,0.004972619402687997
49,0.005323322601616383
50,0.006159432868007571
