method,wall_time_mean_sec,estimated_peak_memory_mb,speedup_vs_bp
ref3,0.33106602770567406,26.644976721869575,5.951268523701394
ref5,0.4454504343949439,26.779551823933918,4.423079826216452
ref7,0.5599229035223188,26.914126925998264,3.518810924784926
ref9,0.6732833170002172,27.048702028062607,2.926350289993887
BP,1.9702628299516316,28.5290281507704,1.0
