method,nmse_mean,psnr_mean,ssim_mean
ref3,6.459255361275643,10.974804512394885,0.0285239582660011
ref5,3.4635527431640636,12.988638864349992,0.062126711208176394
ref7,3.1820850818933724,13.425421166367162,0.07374952589760995
ref9,2.793240061881262,13.760303992208868,0.0813253635379496
BP,2.680526738298575,13.998757097394408,0.10807903201777509
