epoch,train_l1
1,0.08088476371020079
2,0.021441854117438198
3,0.013718110900372267
4,0.010197706054896116
5,0.009853343195281923
6,0.008812927501276135
7,0.009027210255153477
8,0.008059750800020993
9,0.00827945048455149
10,0.007980424957349897
11,0.0069585759751498695
12,0.006727871238254011
13,0.00656618781387806
14,0.006060739676468074
15,0.006109150289557874
16,0.005794519325718284
17,0.005007163817062974
18,0.0049573994870297615
19,0.004570480373222381
20,0.004977806292008609
21,0.005047433003783226
22,0.004221054730005562
23,0.004273357701022178
24,0.0043373567564412956
25,0.0043208710663020615
26,0.0037438959418796005
27,0.003638461674563587
28,0.003543739952147007
29,0.003620299061294645
30,0.003952514987904578
31,0.0033668932924047113
32,0.0032509582489728926
33,0.0031754086678847672
34,0.0031638702261261643
35,0.0030829832958988845
36,0.0029572195862419904
37,0.0034422416193410754
38,0.003234522924758494
39,0.002895401292480528
40,0.002820706348866224
41,0.0028678347193636
42,0.002802019342780113
43,0.0028590413834899664
44,0.0027461616904474796
45,0.0029115853540133685
46,0.002871341780992225
47,0.002628531710943207
48,0.0026655412861146034
49,0.0026145496987737714
50,0.0024446734611410646
