epoch,train_l1
1,0.03098541272804141
2,0.013848040532320739
3,0.012057224526070059
4,0.01137917744461447
5,0.0069483113568276165
6,0.00527699469588697
7,0.004894964790437371
8,0.004562957843299955
9,0.004173329004552215
10,0.0037423669337294995
11,0.0034756904910318554
12,0.0032550082565285265
13,0.003105490740854293
14,0.003004945374559611
15,0.0028553590178489684
16,0.0027512847655452788
17,0.0026478094595950097
18,0.002569853881141171
19,0.0024642162129748612
20,0.0024679694976657627
21,0.0023997493565548213
22,0.0022810748184565453
23,0.002203881109599024
24,0.0022357826691586525
25,0.0022421056870371102
26,0.002167078317143023
27,0.0022032581747043877
28,0.0021388130786363035
29,0.0021062927413731812
30,0.0020928797160740943
31,0.002069705645553768
32,0.002023658283287659
33,0.002019447690108791
34,0.002025452763773501
35,0.001813429422909394
36,0.001978185287443921
37,0.0019126882043201477
38,0.001920607122592628
39,0.0018751150218304247
40,0.0019656228041276336
41,0.0019218387210275978
42,0.0018158652819693089
43,0.0018355140963103621
44,0.0018393823655787856
45,0.00206381325959228
46,0.0018661480862647295
47,0.0018551067123189569
48,0.0017853294312953948
49,0.0018540506123099476
50,0.0017770761030260474
