epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
1,0.12856600381433964,0.04867291479156567,1.1858418111503124,2.4407360553741455
2,0.03602919284254313,0.022367194294929504,0.34384888887405396,1.663525104522705
3,0.01561434512026608,0.011295279989448877,1.0219098456948996,2.2113845348358154
4,0.010454766335897148,0.010947292670607567,1.5705199381709098,2.376774787902832
5,0.009895191644318402,0.008008561168725673,1.5785327013581991,2.352968454360962
6,0.009174482356756926,0.009980867186991068,1.7989029116928577,2.3036370277404785
7,0.009828717997297644,0.0074525345833255695,1.957849856764078,2.338789939880371
8,0.007059567938558758,0.006474289434173932,1.3862694780528546,2.2372887134552
9,0.006476634033024311,0.006394876059717857,1.5631632727384568,2.128835916519165
10,0.006282757162116468,0.00674777442159561,1.6052730411291123,2.019693613052368
11,0.007801246317103505,0.011626466320684323,1.8676917804777622,2.2805097103118896
12,0.006774193248711527,0.005938188638538122,1.6962902823090553,2.2901461124420166
13,0.005760982153005898,0.0051948965097276065,1.6016145396232604,2.0992884635925293
14,0.006176070659421384,0.005521792345322096,1.5852160572260618,2.2572152614593506
15,0.0054838093789294365,0.004871793109207199,1.6183765918016433,2.036700487136841
16,0.0059515574714168904,0.004817945811037834,1.638426913022995,2.2553319931030273
17,0.006229342203587293,0.004955787856418353,1.6948499212414025,2.2716832160949707
18,0.005292257003020495,0.005303466155265386,1.4784724235534668,2.2002501487731934
19,0.005686847069300711,0.005452654217011654,1.6494354732334613,2.1426239013671875
20,0.0059295489825308325,0.00507001095236494,1.9159509968757629,2.126197099685669
21,0.005452239764854312,0.004961855960293458,1.7452107504010201,2.1229593753814697
22,0.005597986064385623,0.006830191777016108,1.629954209178686,2.182286262512207
23,0.005146203509066254,0.004707147080737811,1.4783382106944918,2.1278836727142334
24,0.005586305840406567,0.006470353414232914,1.773298718482256,2.1660263538360596
25,0.006195630291476846,0.0071703469595656944,1.8615176978707313,2.219137191772461
26,0.005581050403416157,0.0064303518917698125,1.7564572948217392,2.1492011547088623
27,0.004974466462153941,0.004986628388556151,1.603882865011692,2.074721097946167
28,0.004837797461077571,0.0036263800441072537,1.4426840004324912,2.109463691711426
29,0.004879838908091187,0.003607195891583195,1.693432885557413,2.116793394088745
30,0.005224944925867021,0.0043505228017098625,1.7307693469524383,2.170609712600708
31,0.00500009871320799,0.005613961901802283,1.6553997987508773,2.1210763454437256
32,0.00496569522889331,0.004123934490892749,1.8203263849020004,2.066174030303955
33,0.004205645399633795,0.0038047055355631388,1.4917031016945839,2.0674190521240234
34,0.003983807526528835,0.0034294116597336074,1.5998733247816563,1.9939056634902954
35,0.004582118184771389,0.0035542181263176296,1.5249767583608627,2.108232259750366
36,0.0038850153773091734,0.00440922322181555,1.5103586807847023,1.9710851907730103
37,0.0038616394833661614,0.0036009552960212412,1.5822381395101548,1.9452788829803467
38,0.004477504931855947,0.008334966268963538,1.5930401120334863,2.0935232639312744
39,0.00446698121028021,0.0033979688484508256,1.4778838822245597,2.077687978744507
40,0.00454499880084768,0.005759781047415275,1.8181309270858765,2.0776257514953613
41,0.00403994963504374,0.0044574084369322425,1.4966574787348508,2.0492382049560547
42,0.003715661158785224,0.003574012420498408,1.5590511274337768,2.0377674102783203
43,0.0036213484848849477,0.0037787875088934717,1.5756259775161743,1.9322713613510132
44,0.003562792735174298,0.003952957027090283,1.6274814975261689,1.9128841161727905
45,0.0038968426315113902,0.0032975099300249265,1.5123279711604118,2.066286325454712
46,0.0034590646740980447,0.0033593800706932177,1.6593748605251313,1.9125194549560547
47,0.003854177570901811,0.0040405854905167455,1.6725018540769816,2.068758726119995
48,0.004399257837794721,0.004533703367297466,1.730252296924591,2.0458738803863525
49,0.004210426439531147,0.005123099634567132,1.8426612055301665,2.016366958618164
50,0.004362131608650089,0.005722774622532038,1.6978140030801296,2.041003942489624
