epoch,train_l1
1,0.146809590049088
2,0.04072877878323197
3,0.026027892157435416
4,0.013395830849185586
5,0.009825614844448865
6,0.008283667061477899
7,0.009402758479118346
8,0.008206157884560526
9,0.008380524325184524
10,0.006441473430022597
11,0.006711978018283844
12,0.008692322871647775
13,0.005914188986644149
14,0.005959498793818057
15,0.006807223409414292
16,0.005666022361256182
17,0.00580732156522572
18,0.005644278759136796
19,0.0054349025990813975
20,0.005835313964635134
21,0.005646487444173545
22,0.006166560081765055
23,0.007360024868976325
24,0.006188591106329113
25,0.005389195797033608
26,0.00627516898792237
27,0.006915748785249889
28,0.00573556219227612
29,0.004953749214764685
30,0.006302069097291679
31,0.005311876167543233
32,0.004589433092623949
33,0.004584767909254879
34,0.005353793401736766
35,0.005490241243969649
36,0.004748070682398975
37,0.004618886252865195
38,0.004925842799711973
39,0.004323863799218088
40,0.004194198155310005
41,0.004431279893033206
42,0.004165575064253062
43,0.004531756388023496
44,0.004657997963950038
45,0.004511957217473537
46,0.004031788562424481
47,0.004523211743216962
48,0.004031458853278309
49,0.004301910118665546
50,0.0038596649188548326
