epoch,train_l1
1,0.01421488430351019
2,0.012082862416282297
3,0.011879054494202138
4,0.00757281007245183
5,0.005628857873380184
6,0.00470628313254565
7,0.0041171696386300026
8,0.003637801208533347
9,0.0034997852216474713
10,0.0032735556294210253
11,0.0031444339593872427
12,0.002956445105373859
13,0.002896855471190065
14,0.0026762021076865493
15,0.00244965334655717
16,0.0022928285831585525
17,0.0022121080057695506
18,0.0022424897423479707
19,0.0021629827376455067
20,0.0020769728580489755
21,0.0021051720948889853
22,0.0019410071638412774
23,0.00198221486993134
24,0.0020244842732790856
25,0.0020142134942580017
26,0.0020239086111541837
27,0.002015631094109267
28,0.0018314972409280018
29,0.0018986460356973111
30,0.001925729406066239
31,0.001848707536701113
32,0.0017711160378530621
33,0.001798877763794735
34,0.0017476362513843924
35,0.001734612607397139
36,0.0018622300785500557
37,0.0019169373635668308
38,0.0017320305987959727
39,0.0018113164009992033
40,0.0017182565235998482
41,0.0017310588742839173
42,0.0017387594387400895
43,0.0018372521130368114
44,0.0017317124095279723
45,0.0018027439049910754
46,0.001753967464901507
47,0.001685852345544845
48,0.001720268286881037
49,0.001629703805083409
50,0.0017451702780090271
