method,speedup_vs_BP_mean
BP,1.0
ref3,2.4325744808205996
ref5,1.8708865084024888
ref7,1.517237318375074
ref9,1.2825139289596168
ref31,0.4674652203102986
ref3 + residual U-Net,2.42644395178985
ref3 + ReMiC-Net R04,2.4202061242066617
