method,runtime_per_sample_mean,network_runtime_per_sample_mean,end_to_end_runtime_per_sample_mean
BP,0.9227860889985459,,0.9227860889985459
ref3,0.3793454614747316,,0.3793454614747316
ref5,0.4932346696895547,,0.4932346696895547
ref7,0.608201550161466,,0.608201550161466
ref9,0.7195135024748742,,0.7195135024748742
ref31,1.9740208445582539,,1.9740208445582539
ref3 + residual U-Net,0.3803038962914676,0.0009584348167360683,0.3803038962914676
ref3 + ReMiC-Net R04,0.3812840897181983,0.0019386282434667617,0.3812840897181983
