category,method,num_seeds,num_test_samples,NMSE_mean,NMSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,MAE_mean,MAE_std,runtime_per_sample_mean,runtime_per_sample_std,network_runtime_per_sample_mean,end_to_end_runtime_per_sample_mean,speedup_vs_BP_mean,source,notes
Exact / high-quality physical baseline,BP,1,100,2.2823941580219764,1.3776744297236796,27.222129492456055,1.6907632487466357,0.4417358852691271,0.0864993726528062,0.006753846197389066,0.002428419230829722,0.9227860889985459,0.3849846867433452,,0.9227860889985459,1.0,workspace.recon.cyl_true_bp_engine.true_backproject_sparse_echo,True direct voxel-wise BP recomputed with cyl_true_bp_engine; independently peak-normalized after fitting to 24^3.
Fast physical backbone,ref3,1,100,5.997081764777547,5.628085308960721,23.797283856458293,2.268127329863038,0.1851951384937236,0.10165039964499636,0.012322662975639104,0.0050104338286741205,0.3793454614747316,0.24193411554374136,,0.3793454614747316,2.4325744808205996,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json,Existing frozen ref3 cache.
Reduced-reference physical baseline,ref5,1,100,3.510261397140238,3.4252811884191057,25.625804280688076,2.0245267702762417,0.2894831973221749,0.08948314610938542,0.008538496845867485,0.003612579323492687,0.4932346696895547,0.341431733577553,,0.4932346696895547,1.8708865084024888,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json,Existing frozen ref5 cache.
Reduced-reference physical baseline,ref7,1,100,3.1150165492201234,2.2866485592087993,26.01183418513533,1.835298619163708,0.316506125628011,0.08722454344912305,0.007875433114822954,0.0031993781423926785,0.608201550161466,0.4416618565587356,,0.608201550161466,1.517237318375074,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json,Existing frozen ref7 cache.
Intermediate-reference physical baseline,ref9,1,100,2.803776449477663,1.7688769163392573,26.310757938670427,2.1604618283085086,0.3390008106413757,0.10137146281100255,0.00769633574411273,0.003661068425093946,0.7195135024748742,0.539965484503709,,0.7195135024748742,1.2825139289596168,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json,Existing frozen ref9 cache.
Dense-reference physical baseline,ref31,1,100,2.5939188747578403,1.7759448896500936,26.701456970833007,2.0690644384283514,0.37783786213898446,0.10166211109420266,0.007229849763680249,0.0031741884134847175,1.9740208445582539,1.8380486158580676,,1.9740208445582539,0.4674652203102986,reused 31-reference full reference-surface cache from BP entries; see ref31_implementation_note.md,Dense 31-reference physical baseline using the full 0.00-0.30 m reference grid; numerically sourced from the existing full-reference cache.
Learned compensation baseline,ref3 + residual U-Net,3,100,1.430389254938773,0.6033554866971013,29.237851097933245,1.2800642531391515,0.4497067916079797,0.051410919406367675,0.0029606131008282927,0.0015810082965630754,0.3803038962914676,8.526415744337975e-05,0.0009584348167360683,0.3803038962914676,2.42644395178985,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet,S02 checkpoints reused from 001b; runtime is ref3 plus network inference.
Proposed method,ref3 + ReMiC-Net R04,3,100,1.0011023935477104,0.015592364067288228,30.152393901022617,0.06649376705812711,0.4848111224795926,0.0031191728571786695,0.0019695788591828508,0.00034727272703200137,0.3812840897181983,2.814945658948044e-06,0.0019386282434667617,0.3812840897181983,2.4202061242066617,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R04_rsbfilm_env_productPcycDelta,R04 checkpoints reused from 002b; runtime is ref3 plus network inference.
