sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,n_fft,voxel_chunk,measurement_chunk,normalization
cross_test_0004,cross,0.9858630519884173,8489,858,11,13,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0005,cross,0.767362968006637,6105,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0006,cross,0.6466003280074801,7001,486,9,9,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0007,cross,0.7089231749996543,7712,486,9,9,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0008,cross,0.7054778930032626,5963,858,11,13,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0009,cross,0.643396791012492,6973,486,9,9,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0010,cross,1.5423709390161093,15318,585,9,13,5,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0011,cross,0.8069186859938782,6394,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0012,cross,0.8036528959928546,7523,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0013,cross,1.539824403997045,12005,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0014,cross,0.5711511410190724,5720,594,9,11,6,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0000,L-shape,0.9112452710105572,7158,1105,17,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0001,L-shape,1.0459207409876399,10304,650,13,10,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0002,L-shape,0.8210700079798698,6775,975,15,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0003,L-shape,0.8341461879899725,7231,900,12,15,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0004,L-shape,2.315579000976868,15454,1330,19,14,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0005,L-shape,0.7810770619835239,6749,900,15,12,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0006,L-shape,0.6896015070087742,6625,700,10,14,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0007,L-shape,1.0147816220123786,7992,1105,13,17,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0008,L-shape,0.6685850769863464,6120,780,13,12,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0009,L-shape,2.3388207519892603,16243,1170,18,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0010,L-shape,0.9121072959969752,7612,910,14,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0011,L-shape,0.5319515870069154,5186,650,10,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0012,L-shape,1.2964047940040473,10454,1040,16,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0013,L-shape,1.4347650299896486,10483,1190,17,14,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0014,L-shape,0.5663569099851884,5766,600,12,10,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0015,L-shape,0.9801132729917299,7459,1170,13,18,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0016,L-shape,1.2480265109916218,10055,1040,16,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0017,L-shape,1.0644730660133064,8018,1170,18,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0018,L-shape,1.7588958519918378,13570,975,15,13,5,4096,384,512,independent peak normalization after fitting to 24^3
L_shape_test_0019,L-shape,1.1519892090000212,11543,585,9,13,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0000,double-line,0.7349258720059879,7368,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0001,double-line,1.4457040909910575,10988,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0002,double-line,0.6702202470041811,5534,975,13,15,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0003,double-line,1.2518117759900633,8439,1445,17,17,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0004,double-line,1.55949558399152,11515,1170,15,13,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0005,double-line,0.8764850209990982,5978,1350,15,15,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0006,double-line,1.5715191880008206,11115,1275,15,17,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0007,double-line,0.799990310013527,6982,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0008,double-line,0.8338348889956251,7074,918,17,9,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0009,double-line,1.4055913019983564,12153,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0010,double-line,1.512854110012995,11120,1170,13,15,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0011,double-line,0.8358656400232576,6385,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0012,double-line,1.0067361610126682,10790,525,15,7,5,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0013,double-line,1.5722712339775171,9376,1734,17,17,6,4096,384,512,independent peak normalization after fitting to 24^3
double_line_test_0014,double-line,0.9916242840117775,7497,1122,11,17,6,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0000,small_rect_edge,0.44839570799376816,5152,405,9,9,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0001,small_rect_edge,0.5719650000100955,5830,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0002,small_rect_edge,0.7872282050084323,6032,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0003,small_rect_edge,0.7599025400122628,6742,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0004,small_rect_edge,0.7286040600156412,6460,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0005,small_rect_edge,0.6312063630030025,5525,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0006,small_rect_edge,0.6990707379882224,6192,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0007,small_rect_edge,0.7401674390130211,5676,1125,15,15,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0008,small_rect_edge,0.6807708649721462,6016,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
small_rect_edge_test_0009,small_rect_edge,0.684306798997568,6057,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0000,point_cluster,1.054669136996381,9874,700,10,10,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0001,point_cluster,0.8584003789874259,6896,1000,10,10,10,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0002,point_cluster,0.5271880189829972,5453,567,9,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0003,point_cluster,0.725921980018029,8420,392,8,7,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0004,point_cluster,0.9376053029845934,7637,1000,10,10,10,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0005,point_cluster,0.6257657840033062,5527,832,13,8,8,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0006,point_cluster,1.1269955610041507,11991,480,8,10,6,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0007,point_cluster,0.5898215430206619,6156,528,11,8,6,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0008,point_cluster,0.534517477004556,5843,490,10,7,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0009,point_cluster,0.7746073610032909,8573,441,7,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0010,point_cluster,1.1600096469919663,8894,1120,10,14,8,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0011,point_cluster,0.560066685982747,5730,567,9,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0012,point_cluster,0.722693835006794,7237,630,10,9,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0013,point_cluster,0.9659676299779676,7143,1200,15,8,10,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0014,point_cluster,0.44638713798485696,5130,392,8,7,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0015,point_cluster,0.7375852749974001,7575,560,8,10,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0016,point_cluster,1.4033828249957878,11040,1056,11,12,8,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0017,point_cluster,0.5055310350144282,5232,540,10,9,6,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0018,point_cluster,0.8315471670066472,8886,504,9,8,7,4096,384,512,independent peak normalization after fitting to 24^3
point_cluster_test_0019,point_cluster,1.0856083109974861,12122,420,10,6,7,4096,384,512,independent peak normalization after fitting to 24^3
