sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,n_fft,voxel_chunk,measurement_chunk,normalization
line_test_0000,line,1.0624962520087138,8953,455,13,7,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0001,line,2.288413964997744,13540,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0002,line,0.7251382469839882,6100,715,11,13,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0003,line,0.9167263999988791,9350,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0004,line,0.6650238769943826,7130,495,11,9,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0005,line,0.5688248989754356,6092,486,9,9,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0006,line,1.1310645710036624,13764,330,5,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0007,line,0.9950562269950751,8833,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0008,line,0.7029287990008015,6036,858,13,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0009,line,0.9215968569915276,9330,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0010,line,0.9052381659857929,10403,385,7,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0011,line,0.6992604100087192,6104,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0012,line,0.940858568996191,9791,495,11,9,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0013,line,0.7080209660052788,6478,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0014,line,0.4454580879828427,4876,495,9,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0015,line,0.48605275398585945,5596,405,9,9,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0016,line,0.9170956599991769,8208,825,15,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0017,line,0.5073958610009868,4780,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0018,line,0.6549754820007365,6985,525,7,15,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0019,line,0.62812593698618,6423,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0000,cross,0.6522536379925441,6124,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0001,cross,0.9401499170053285,7543,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0002,cross,0.5816252090153284,5359,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0003,cross,1.1725556000019424,9421,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
