variant,seed,epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
S05_concat_Mshell_delta_Pcyc,1,1,0.013684805324301124,0.008694228823654927,0.9160539853572846,1.0237582921981812
S05_concat_Mshell_delta_Pcyc,1,2,0.006249242187477648,0.004906607397760336,0.9279613530635834,0.9522334933280945
S05_concat_Mshell_delta_Pcyc,1,3,0.0044034341000951825,0.004037628398061945,0.9374620813131332,0.9561671614646912
S05_concat_Mshell_delta_Pcyc,1,4,0.0037580358423292635,0.003390045979848275,0.9407813382148743,0.9659690856933594
S05_concat_Mshell_delta_Pcyc,1,5,0.0033102642791345716,0.00320993483854601,0.9399520689249039,0.9596673250198364
S05_concat_Mshell_delta_Pcyc,1,6,0.0031297461362555625,0.002939267307878114,0.9396175616979598,0.9607091546058655
S05_concat_Mshell_delta_Pcyc,1,7,0.0029722672421485185,0.0030557521117421296,0.9419272309541702,0.969386875629425
S05_concat_Mshell_delta_Pcyc,1,8,0.0028587955934926868,0.002719610660838393,0.93912348985672,0.975895345211029
S05_concat_Mshell_delta_Pcyc,1,9,0.002654373913537711,0.0025114921423105094,0.942151533961296,0.9707993268966675
S05_concat_Mshell_delta_Pcyc,1,10,0.0025189359998330474,0.002467984064983634,0.9413305622339249,0.9698818325996399
S05_concat_Mshell_delta_Pcyc,1,11,0.0023866191762499512,0.002297995970226251,0.9413965570926667,0.9676406979560852
S05_concat_Mshell_delta_Pcyc,1,12,0.0023968984954990447,0.002272057033573779,0.9422889888286591,0.9766794443130493
S05_concat_Mshell_delta_Pcyc,1,13,0.002327620139112696,0.0026527388164630304,0.9432005488872528,0.9904870390892029
S05_concat_Mshell_delta_Pcyc,1,14,0.0023096049181185662,0.0022800067672505975,0.9435449892282486,0.9989551901817322
S05_concat_Mshell_delta_Pcyc,1,15,0.0021625945647247135,0.0020342730075264205,0.9425909465551376,0.9676240086555481
S05_concat_Mshell_delta_Pcyc,1,16,0.0021909830207005143,0.0020501410069230655,0.9442826533317565,0.9886752367019653
S05_concat_Mshell_delta_Pcyc,1,17,0.002096972052240744,0.0021394721787566175,0.9436494863033295,0.9789871573448181
S05_concat_Mshell_delta_Pcyc,1,18,0.0020346336241345853,0.0020348635824540486,0.942588786482811,0.9770129919052124
S05_concat_Mshell_delta_Pcyc,1,19,0.0019716104737017306,0.0019648408499331428,0.9413273477554321,0.9731534123420715
S05_concat_Mshell_delta_Pcyc,1,20,0.0019430238474160433,0.00196286893557184,0.9425674152374267,0.977494478225708
S05_concat_Mshell_delta_Pcyc,1,21,0.0019507384079042822,0.0018877534625621943,0.9448364382982254,0.9832419753074646
S05_concat_Mshell_delta_Pcyc,1,22,0.0019470013538375496,0.0019725885851165424,0.9425255447626114,0.9819995164871216
S05_concat_Mshell_delta_Pcyc,1,23,0.0018999509350396692,0.0018860812639244474,0.9431566947698593,0.9902145266532898
S05_concat_Mshell_delta_Pcyc,1,24,0.001992189275333658,0.001961267123428675,0.9471472054719925,1.0093642473220825
S05_concat_Mshell_delta_Pcyc,1,25,0.0019104239903390407,0.0018760570271227222,0.9462368440628052,1.0128315687179565
S05_concat_Mshell_delta_Pcyc,1,26,0.0017901616886956617,0.0017676134638559932,0.9394527888298034,0.9803725481033325
S05_concat_Mshell_delta_Pcyc,1,27,0.0018287808692548425,0.0017687353627899517,0.942822152376175,0.9835308790206909
S05_concat_Mshell_delta_Pcyc,1,28,0.0018240905134007334,0.0017323083100983729,0.9459720569849014,0.9928447604179382
S05_concat_Mshell_delta_Pcyc,1,29,0.0017916471709031611,0.0017311136739758344,0.9429576814174652,0.9768431186676025
S05_concat_Mshell_delta_Pcyc,1,30,0.0017726885399315506,0.0018431993398385553,0.9425214219093323,0.9922946691513062
S05_concat_Mshell_delta_Pcyc,1,31,0.0017699224315583706,0.0019019633585300583,0.9430554568767547,0.9866043329238892
S05_concat_Mshell_delta_Pcyc,1,32,0.0018116244638804347,0.0017714704691360777,0.9510227209329605,1.009760856628418
S05_concat_Mshell_delta_Pcyc,1,33,0.0017965962691232561,0.0017254521237471355,0.9429138642549515,1.0034301280975342
S05_concat_Mshell_delta_Pcyc,1,34,0.0016987168299965561,0.0017644300465830243,0.9423728722333908,0.9694514274597168
S05_concat_Mshell_delta_Pcyc,1,35,0.0018044765130616725,0.0019487625328250802,0.9444278252124786,1.0053881406784058
S05_concat_Mshell_delta_Pcyc,1,36,0.0017915091628674417,0.0019392379416296114,0.9463396543264389,0.9999905228614807
S05_concat_Mshell_delta_Pcyc,1,37,0.0017774558335077017,0.0018146993646111626,0.9409164923429489,1.005651831626892
S05_concat_Mshell_delta_Pcyc,1,38,0.0016658603079849855,0.00170021974750293,0.9442819434404374,0.9781528115272522
S05_concat_Mshell_delta_Pcyc,1,39,0.0016887063544709236,0.0016339975140558986,0.9485045838356018,0.9942672252655029
S05_concat_Mshell_delta_Pcyc,1,40,0.0016255256399745122,0.001604379118921665,0.9447742855548859,0.9943344593048096
S05_concat_Mshell_delta_Pcyc,1,41,0.0016491101868450642,0.001661159832460376,0.9416281467676163,0.9920958876609802
S05_concat_Mshell_delta_Pcyc,1,42,0.0017420359933748842,0.002078900176386994,0.9425961518287659,0.994442880153656
S05_concat_Mshell_delta_Pcyc,1,43,0.0017424524296075106,0.0016943858846878777,0.947718391418457,1.0023384094238281
S05_concat_Mshell_delta_Pcyc,1,44,0.0017256250104401261,0.0019413316264175451,0.942971248626709,0.9955613613128662
S05_concat_Mshell_delta_Pcyc,1,45,0.0017922163975890727,0.0018194704540432072,0.9516670054197311,1.0147428512573242
S05_concat_Mshell_delta_Pcyc,1,46,0.0017574311688076704,0.0016127981541033548,0.9463984656333924,1.0023123025894165
S05_concat_Mshell_delta_Pcyc,1,47,0.0016438408952672034,0.0016927885097594787,0.9454859477281571,0.9820868968963623
S05_concat_Mshell_delta_Pcyc,1,48,0.0016953688027570024,0.001661618875984389,0.9435134732723236,1.000083088874817
S05_concat_Mshell_delta_Pcyc,1,49,0.0016382209555013106,0.0016560817692572107,0.9429886901378631,0.9987772107124329
S05_concat_Mshell_delta_Pcyc,1,50,0.0017123332578921691,0.0017156184140521174,0.9493449521064758,1.0052086114883423
