epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
1,0.10755537115037442,0.039643943309783936,0.964957048818469,2.974057674407959
2,0.028723096922039986,0.01930727379826399,0.7383555100858211,2.075303792953491
3,0.016479856232181192,0.014676098568508258,1.6109306892752648,2.22639799118042
4,0.014327023727819323,0.013425044142282926,1.6968814194202424,2.016842842102051
5,0.01365636863745749,0.012904975205086745,1.7622913467884063,1.9986177682876587
6,0.013188930321484804,0.012983976290203057,1.85789479970932,2.0384788513183594
7,0.012887790035456419,0.012971622869372368,1.8538692426681518,2.1496331691741943
8,0.012549323048442602,0.01269853301346302,1.886127154827118,2.137472152709961
9,0.012339583402499556,0.01324009823684509,1.9036856341361998,2.1807901859283447
10,0.012189812613651157,0.012686938119049255,1.886319079399109,2.1539032459259033
11,0.011981190387159587,0.012269267095969273,1.9189550936222077,2.181830644607544
12,0.011800317373126746,0.011476096410590868,1.8643005681037903,2.249563455581665
13,0.011443721298128366,0.011666901839467196,1.9394460439682006,2.2626266479492188
14,0.010891327513381838,0.009936953285852304,1.9196492838859558,2.180389404296875
15,0.010097698839381337,0.008882948089964114,1.9008361136913299,2.2793562412261963
16,0.009673169441521167,0.008485112589998888,1.9405777287483215,2.21461820602417
17,0.009387639532797039,0.008428916478386292,1.9682153618335725,2.265716552734375
18,0.00912764246109873,0.008334284039357534,2.017104458808899,2.2146575450897217
19,0.008774903081357479,0.008224235740132056,2.0581997644901278,2.1909396648406982
20,0.00830956330988556,0.008284173368547972,2.0630480813980103,2.253740072250366
21,0.007508691148832441,0.007197868043126969,2.0262663209438325,2.2674167156219482
22,0.006747555020265281,0.005912757192093592,2.001716319322586,2.2495248317718506
23,0.0064265188574790955,0.005240278085693717,1.929744039773941,2.262627601623535
24,0.006283193221315741,0.005592241775817596,1.8795390784740449,2.299989938735962
25,0.006508738272823393,0.011408032992711434,1.8369534447789193,2.400621175765991
26,0.007749007344245911,0.00798251422551962,2.159890860915184,2.4035205841064453
27,0.007588966803159565,0.010819572238967968,1.8996800121665,2.405662775039673
28,0.00790881792549044,0.012896934094337316,1.7655760791897774,2.40383243560791
29,0.007162415748462081,0.005010462527234967,1.9712881404161453,2.402806520462036
30,0.006573552300687879,0.005943700277174895,1.8095071026682854,2.3551571369171143
31,0.007889205077663063,0.010818528298002023,1.8060487702488899,2.35703444480896
32,0.008350766403600574,0.004381047293113975,1.7946139799058438,2.3801589012145996
33,0.005097671479452401,0.0056339789611788895,1.742765762358904,2.1255083084106445
34,0.006357045511249453,0.0052052459213882685,1.71121119171381,2.2627642154693604
35,0.0064701085910201074,0.00708768660059342,1.60339908182621,2.3243885040283203
36,0.006858404735103249,0.004034710403245229,1.9062224060297013,2.2414016723632812
37,0.005281867657322437,0.004322801985276433,1.4469544672966004,2.1588001251220703
38,0.005444119106978178,0.004443704365537717,1.7790271386504173,2.202322244644165
39,0.004875419370364398,0.008513861908935584,1.7252790132164955,2.1543374061584473
40,0.005405245567671955,0.004807815600473147,1.4796414485573768,2.1831002235412598
41,0.005701914264354855,0.0048884348227427555,1.6876492697000502,2.190627336502075
42,0.005491178268566727,0.0063763984407369904,1.6333109214901924,2.207894802093506
43,0.004976564685348421,0.005378307667202675,1.7877399522066115,2.10965895652771
44,0.00524912646273151,0.003961874781033168,1.6016844856739043,2.10518217086792
45,0.0044370875973254445,0.00411688806847311,1.4980787447094916,2.1027345657348633
46,0.0039606310799717905,0.0048834428621026185,1.6135336077213287,1.9221172332763672
47,0.005615589946974069,0.008424602054919187,1.6503813572227954,2.1029763221740723
48,0.0048812806070782245,0.0031340512303778757,1.6721566161513328,2.121020793914795
49,0.004737102524377406,0.0040048013190523936,1.6468104776740073,2.0856337547302246
50,0.003732554039452225,0.0035724475836524596,1.6387092459201813,1.915389060974121
