method,runtime_proxy_mean_sec,wall_time_mean_sec,speedup_vs_bp
ref3,0.07039754700024552,0.7274413190025371,9.274583671039334
ref5,0.10632893024575746,0.6592393675236963,6.140454327722837
ref7,0.14671231698218523,0.6497259752068203,4.450259891737525
ref9,0.18823297713947063,0.6483580323692877,3.468616125674573
BP,0.6529079398897011,0.6529079398897011,1.0
