method,nmse_mean,psnr_mean,ssim_mean
ref3,138.86533620845043,21.174587986734792,0.017839528566223214
ref5,31.533722000565838,24.93921138662461,0.06439778960173473
ref7,28.499095034943885,26.660257543252396,0.10649810469627329
ref9,16.875120844207828,27.456942666889873,0.1288173936150258
BP,8.230082259853907,29.951417580056066,0.23876686690654328
