epoch,train_l1
1,0.014313555764965713
2,0.012086808700114488
3,0.012125236131250858
4,0.011834824765101075
5,0.007901319093070925
6,0.005181745802983642
7,0.004586597348097712
8,0.004312191738281399
9,0.004073909535072744
10,0.0038990486273542046
11,0.0037382852681912483
12,0.003520945052150637
13,0.0034455091576091946
14,0.0031773175159469248
15,0.003057359866797924
16,0.002939901864156127
17,0.0028526200004853307
18,0.0026728637039195747
19,0.0025915899919345974
20,0.002566920559620485
21,0.002400360613828525
22,0.0023224326397757976
23,0.002350675892084837
24,0.00232957914005965
25,0.0023145831178408116
26,0.0022863220679573714
27,0.0021902925614267587
28,0.0021926706307567657
29,0.002095773576293141
30,0.002176684079458937
31,0.002103567556478083
32,0.0020702716906089336
33,0.002001702501438558
34,0.001972507401369512
35,0.001923443789128214
36,0.0019043344631791115
37,0.0019363564555533231
38,0.0018704359768889844
39,0.001904788400279358
40,0.002098007446620613
41,0.0017851652880199254
42,0.001849298063898459
43,0.001820388573105447
44,0.0017772786656860262
45,0.0017695105134043843
46,0.0017377806350123137
47,0.00176420281175524
48,0.0017650002485606819
49,0.001770075943786651
50,0.00179203222040087
