dataset,family,baseline_nmse,pc_nmse,baseline_psnr,pc_psnr,baseline_ssim,pc_ssim
Leave-One-Family-Out Focused OOD,point_cluster,0.8522655387276551,0.8526812193548658,32.26367974172588,32.26156225256918,0.6395806427146288,0.6413821453928061
Leave-One-Family-Out Focused OOD,point_cluster,0.8818554786104909,0.8661038713143703,31.968684888930376,32.046959324259184,0.62004564010828,0.6271470655179304
Leave-One-Family-Out Focused OOD,point_cluster,0.8863601975798878,0.8666415089620578,32.3875271501711,32.4852346768934,0.6356744120747568,0.6437149676029041
Leave-One-Family-Out Focused OOD,point_cluster,0.9060550792312461,0.924614172888597,30.770211439483827,30.682151991734862,0.5630186679090354,0.5464271404390904
Leave-One-Family-Out Focused OOD,point_cluster,0.9067446327698215,0.9191720786747418,31.343789571378974,31.284671146684936,0.5880056236437896,0.5781620894399122
Leave-One-Family-Out Focused OOD,point_cluster,0.908314872672874,0.9030590425522846,31.60982477125173,31.635027691034267,0.5959594665727038,0.5976284467273572
Leave-One-Family-Out Focused OOD,point_cluster,0.9150335437525638,0.9112442867722701,32.12443854608465,32.14246061818272,0.6246712932078109,0.6246343046921912
Leave-One-Family-Out Focused OOD,point_cluster,0.9167105828572946,0.9115534525302897,32.2893046199754,32.313805985340885,0.6397746867368467,0.6359587745291391
Leave-One-Family-Out Focused OOD,point_cluster,0.9174910973814743,0.933362859153471,32.404829241936504,32.330342874018775,0.6361576749501655,0.6299109955087132
Leave-One-Family-Out Focused OOD,point_cluster,0.9202379820552403,0.9338089494624225,31.93212072990814,31.86854199930431,0.6271023835454583,0.625172895230459
Leave-One-Family-Out Focused OOD,point_cluster,0.920380808973116,0.9265874219175536,31.322642428278908,31.293453981080805,0.6001793458183038,0.5966465630362349
Leave-One-Family-Out Focused OOD,point_cluster,0.9208055670892057,0.917836361632576,32.64744031618935,32.66146681335173,0.6514419473945313,0.6472153241793487
Leave-One-Family-Out Focused OOD,point_cluster,0.9234843039510805,0.9153831890217359,31.616465460425584,31.654731457272064,0.6005141123830342,0.599522178879478
Leave-One-Family-Out Focused OOD,point_cluster,0.9237327751328732,0.9279669971189812,32.86110812714762,32.8412462601172,0.6581866883291324,0.6522183540201545
Leave-One-Family-Out Focused OOD,point_cluster,0.9249697132470707,0.9202923664473012,31.476349093996298,31.498365943838667,0.5848353431125394,0.5857336545696331
Leave-One-Family-Out Focused OOD,point_cluster,0.9249957327691017,0.92008125902502,30.64252449287878,30.66565977471866,0.5449782499577922,0.5421885168260528
Leave-One-Family-Out Focused OOD,point_cluster,0.9252551620348829,0.9116094771154409,33.14972560573877,33.214252418278974,0.6689181538997728,0.672047694137449
Leave-One-Family-Out Focused OOD,point_cluster,0.9259789401244799,0.9243476852858193,31.99816246546242,32.00581998007438,0.6186464024406807,0.6162750934043872
Leave-One-Family-Out Focused OOD,point_cluster,0.9270633813790272,0.9245203335334135,31.669423552528855,31.681353328290065,0.605632848068273,0.6009822209693534
Leave-One-Family-Out Focused OOD,point_cluster,0.9273239565117238,0.9194831090498021,31.999160576016415,32.03603793286651,0.6115025045620822,0.6128403429899505
Leave-One-Family-Out Focused OOD,point_cluster,0.9278900748455835,0.9184936366845049,31.648201396287515,31.692404803836066,0.6399260681007611,0.6417315700372126
Leave-One-Family-Out Focused OOD,point_cluster,0.9309944702695432,0.9478489715999538,32.16713059685793,32.08921018033199,0.622540195224556,0.6116562318027111
Leave-One-Family-Out Focused OOD,point_cluster,0.9327388434293356,0.9219010089812149,32.532097140032306,32.58285461542163,0.6371579031415371,0.6402401067062029
Leave-One-Family-Out Focused OOD,point_cluster,0.9385437167544138,0.9180632463971364,31.058810713393665,31.154629655877013,0.5682944978920743,0.5727904659445456
Leave-One-Family-Out Focused OOD,point_cluster,0.9393140482481276,0.9315757987776973,31.34447441913622,31.380400453666844,0.5725575250310808,0.5746393082571973
Leave-One-Family-Out Focused OOD,point_cluster,0.9404447801238361,0.9365459828127359,31.09263100593312,31.110672906852436,0.567463667825008,0.5627757582072922
Leave-One-Family-Out Focused OOD,point_cluster,0.9428768670592469,0.946141867706735,31.513643249428934,31.49863044798613,0.5945723673392608,0.5864334745704709
Leave-One-Family-Out Focused OOD,point_cluster,0.9430721910429513,0.9386215211414862,31.747704355533312,31.768248932407637,0.6086187072547397,0.6063033297948737
Leave-One-Family-Out Focused OOD,point_cluster,0.9455173328291484,0.9347869539182735,32.21044371873924,32.26001256626867,0.6243928943936214,0.6266620130981597
Leave-One-Family-Out Focused OOD,point_cluster,0.9471365941265361,0.9570891996905443,31.239447444719435,31.194049480595524,0.5758221943958834,0.5699545628176762
Leave-One-Family-Out Focused OOD,point_cluster,0.9482227019858914,0.9289310743017171,30.645114810209773,30.7343834974806,0.5368458464653938,0.5452899339895734
Leave-One-Family-Out Focused OOD,point_cluster,0.9485861409793245,0.9248780319504031,32.168443604149466,32.27836640244807,0.6227926294316536,0.6285106414584752
Leave-One-Family-Out Focused OOD,point_cluster,0.9490954229983577,0.9496255854066703,31.462546168917633,31.460120795947898,0.5855705692876617,0.579466703519065
Leave-One-Family-Out Focused OOD,point_cluster,0.9553568991234637,0.9553728138400341,32.245044138005674,32.24497165079997,0.6249580522696683,0.6229889061516348
Leave-One-Family-Out Focused OOD,point_cluster,0.9559095687862269,0.9419559659246417,31.47139275083912,31.535255001264627,0.5856293271741998,0.5849212666529774
Leave-One-Family-Out Focused OOD,point_cluster,0.9577850646663997,0.9594604645988207,31.03010659206771,31.02251638136152,0.5791587638679155,0.569810527187413
Leave-One-Family-Out Focused OOD,point_cluster,0.9595070030992836,0.9417324443806272,31.130118626400666,31.21132494458971,0.5762389930490548,0.5760186585278877
Leave-One-Family-Out Focused OOD,point_cluster,0.962732844201783,0.9555813357189391,31.39346593400279,31.425847152802824,0.5818078451141252,0.5831261958319213
Leave-One-Family-Out Focused OOD,point_cluster,0.9649498552444077,0.9593850386319872,30.495399142244175,30.52051699135057,0.5294552117181724,0.5268526943169249
Leave-One-Family-Out Focused OOD,point_cluster,0.9656039100793311,0.9588997879308313,31.094420768702335,31.124678785151822,0.558245915649286,0.5576482038879695
Leave-One-Family-Out Focused OOD,point_cluster,0.9686666168771383,0.9530078463588098,32.28743657758051,32.358214743922176,0.6262476801243012,0.6300439997935167
Leave-One-Family-Out Focused OOD,point_cluster,0.9697643691568133,0.9669289839811959,31.281801070851817,31.294517657345185,0.5703098729100871,0.5702260833335586
Leave-One-Family-Out Focused OOD,point_cluster,0.9708371942076343,0.9508065617486839,31.64863541370528,31.73917777833102,0.5961792187229167,0.5987900022940431
Leave-One-Family-Out Focused OOD,point_cluster,0.9728168299643303,0.9572055414784812,32.125644264700064,32.195903054468104,0.6170142940197936,0.6187130901704432
Leave-One-Family-Out Focused OOD,point_cluster,0.9734768451710598,0.9761327447398664,31.09470955357669,31.082876869797,0.5964891956455429,0.5953819559021258
Leave-One-Family-Out Focused OOD,point_cluster,0.9740016890494556,0.953323352439381,31.580234188103997,31.673428959728824,0.5876359339437824,0.5926482066104491
Leave-One-Family-Out Focused OOD,point_cluster,0.9749623636394811,0.973289284888778,31.674131391715758,31.681590493554577,0.5854088759049287,0.5873586432645872
Leave-One-Family-Out Focused OOD,point_cluster,0.9753225580867748,0.9751995902642718,32.89211252475,32.8926601686536,0.6540424456540262,0.6500581757668591
Leave-One-Family-Out Focused OOD,point_cluster,0.976409251735889,0.9518327310510143,32.32651037756114,32.43722301438382,0.6299835279277524,0.6334841714682412
Leave-One-Family-Out Focused OOD,point_cluster,0.9769169303036426,0.9673973240517203,31.02494255109052,31.06747012973667,0.5623457914262039,0.5638680302974912
Leave-One-Family-Out Focused OOD,point_cluster,0.9812072260941009,0.9464147857858978,32.12114020015419,32.27793241905842,0.6168555876867249,0.6240687973380272
Leave-One-Family-Out Focused OOD,point_cluster,0.9813375885948993,0.9841866312340521,31.29806486014864,31.285474523351454,0.5631080673640452,0.559509787157321
Leave-One-Family-Out Focused OOD,point_cluster,0.9830237830608047,0.9588284044796104,32.59180963197834,32.700040957376345,0.6383404207175417,0.6444100792638349
Leave-One-Family-Out Focused OOD,point_cluster,0.983578131271133,0.990229692771127,30.965451131197792,30.93618026678097,0.5590483255260604,0.5518344227856333
Leave-One-Family-Out Focused OOD,point_cluster,0.9836003608812426,0.9723167485397876,31.191400952418995,31.241510042163153,0.5633528327429779,0.5641625995096134
Leave-One-Family-Out Focused OOD,point_cluster,0.9865028379118896,0.977439241355256,31.051616877593112,31.091702596934642,0.5498877967713933,0.552171717365457
Leave-One-Family-Out Focused OOD,point_cluster,0.9891562023893851,0.9753649660627582,32.33677050908797,32.39774776946798,0.6160778829378964,0.6192859312838042
Leave-One-Family-Out Focused OOD,point_cluster,0.9895000994537904,0.9665936885259938,30.94882626513909,31.05054522040792,0.5596221203032201,0.5618621229048483
Leave-One-Family-Out Focused OOD,point_cluster,0.9902129891737397,0.97343104152684,32.15424481725842,32.22847945099677,0.6147197555125326,0.6147810246141502
