dataset,model,NMSE_mean,NMSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,runtime_mean,runtime_std,speedup_vs_BP,num_samples
Random-ET OOD,Baseline-Ours,1.1516142067126878,0.16210937549354038,28.705446859064832,1.4213709950434121,0.34141921137759135,0.10253255620355631,1.6978271634480917,0.9814152503139602,5.0576646076013585,100
Random-ET OOD,Ours-PC-P1,1.122056198768353,0.11821737179193166,28.80258150374126,1.430279608308273,0.35101487178865953,0.09689908130156907,1.6957212789799088,0.98124111165542,5.067125720528526,100
