ood_split,dataset_dir,variant,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_with_ref3_per_sample
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0000,point_cluster,5.905554651248193,23.5629538765542,0.09037485615638831,0.015654215589165688,0.4283086769974034
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0001,point_cluster,4.07867247856616,25.45882151634226,0.215999889688008,0.010171539150178432,0.5504782850002812
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0002,point_cluster,8.070655534731326,21.81551595330566,0.05129400885509155,0.021065326407551765,0.46047657700182754
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0003,point_cluster,4.044714753793895,25.870332415796785,0.21237036711187907,0.00938648171722889,0.43668436799998744
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0004,point_cluster,11.071551821456154,20.79140671136389,0.036999220960325124,0.02514750137925148,0.4777922220018809
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0005,point_cluster,8.455015209297223,21.402609201597578,0.04246962372436911,0.022578544914722443,0.4302325019998534
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0006,point_cluster,4.225716103108896,24.933185689582356,0.22461822027507158,0.008630133233964443,0.3637119030026952
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0007,point_cluster,3.852391459945159,25.721484016621897,0.2057935516832687,0.009789208881556988,0.4628081849987211
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0008,point_cluster,3.582957348976533,25.60604693996772,0.1917968734093282,0.010953687131404877,0.31824466299804044
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0009,point_cluster,6.615220165766216,23.84119265153526,0.13848737267218472,0.01135100144892931,0.3835029529982421
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0010,point_cluster,4.042145447900593,26.049251025522867,0.2830059855592195,0.00754126999527216,0.3280299810030556
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0011,point_cluster,9.236945165934697,21.946979246313823,0.06336890091392607,0.01839841902256012,0.3227704689998063
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0012,point_cluster,2.911678616438747,26.35116572092938,0.22838095046639753,0.00925420131534338,0.5934483180026291
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0013,point_cluster,4.950955162491395,24.323870667407384,0.14662076452924933,0.011943801306188107,0.3298219460011751
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0014,point_cluster,8.060050056291063,23.159451927089975,0.08602297807535116,0.01622263342142105,0.3321295099995041
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0015,point_cluster,6.387938959580541,22.584490289295207,0.09706720047159556,0.01581602543592453,0.6050903230025142
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0016,point_cluster,7.458817766224229,22.671754966478595,0.07879827475505881,0.0171017087996006,0.46632214399869554
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0017,point_cluster,11.936128467136388,20.12490496029403,0.027408586539784018,0.026484215632081032,0.3502391220026766
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0018,point_cluster,9.645488153995469,22.23796882040324,0.06503327210175368,0.01858055219054222,0.367843301002722
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0019,point_cluster,4.5007544101955395,24.960300906271634,0.20962701990905283,0.0094297481700778,0.4414134489998105
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0020,point_cluster,10.984200639619615,21.623163486831416,0.05769495690649074,0.01788458600640297,0.29144805800024187
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0021,point_cluster,4.78633959548308,25.349144549624217,0.1965989200951094,0.009734808467328548,0.42216862900022534
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0022,point_cluster,7.285121040965386,22.902856388548894,0.0807251158556709,0.016576401889324188,0.4666498660008074
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0023,point_cluster,6.680407482368208,23.717214088200635,0.07758551488360634,0.017095759510993958,0.3298914680017333
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0024,point_cluster,7.896821251315659,21.706912424708854,0.07233120125076788,0.017723150551319122,0.4120707520014548
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0025,point_cluster,5.258510836433491,24.321662518016506,0.13132023728026576,0.013147415593266487,0.477675165002438
Leave-One-Family-Out OOD,leave_one_family_out_ood,S01_ref3,0,leave_one_family_out_ood_0026,point_cluster,4.546256557709611,23.837679143348222,0.13317163859848777,0.014221442863345146,0.2914052449996234
