variant,seed,NMSE,PSNR,SSIM,MAE,runtime_per_sample
S01_ref3,0,5.997081764777547,23.797283856458293,0.1851951384937236,0.012322662975639104,0.0
S02_plain_residual_unet,0,2.2836042709640383,27.42800022809479,0.37720499892571946,0.005163280736887828,0.0010790022200308157
S02_plain_residual_unet,1,1.0124343368851376,30.108474784270587,0.4906737768695993,0.002191803439054638,0.0008965415300917812
S02_plain_residual_unet,2,0.995129156967143,30.177078281434362,0.4812415990286204,0.0015267551265424118,0.0008997607000856079
S03_concat_Mshell,0,0.996159649730595,30.17271518024907,0.48518480910675693,0.0018000520096393303,0.0009380681601396646
S04_concat_Mshell_delta,0,2.4387080755226433,27.198840703070584,0.35221289754737783,0.006337106301216409,0.000968144910330011
S04_concat_Mshell_delta,1,1.0047598456742488,30.142234776939464,0.4963610825415975,0.002648496613255702,0.0009509996700944612
S04_concat_Mshell_delta,2,1.000746249445357,30.15270886762693,0.48097452820479625,0.0016970309356111103,0.0009526797201760928
S05_concat_Mshell_delta_Pcyc,0,1.0064812026336296,30.12828942430252,0.482550359848347,0.00198450992902508,0.0009806079400368616
S05_concat_Mshell_delta_Pcyc,1,0.9837516385546562,30.227176588523207,0.48928629043512006,0.0016644486793666146,0.0009551648200795171
S05_concat_Mshell_delta_Pcyc,2,5.997457235604787,23.797016156468988,0.18502662693828245,0.012336188231129199,0.0009603977700317046
S06_geometry_branch_bottleneck_concat,0,0.9957315351787066,30.17443506901355,0.48107040749287255,0.0015480072679929435,0.0014577704797920888
S06_geometry_branch_bottleneck_concat,1,2.9454558866627694,26.54175862056166,0.3290610822020134,0.006585359884193167,0.001646503819974896
S06_geometry_branch_bottleneck_concat,2,0.9908091478353779,30.19623643734287,0.4886693198169139,0.00196899465052411,0.0017008848200930516
S07_generic_film_middeep,0,0.9965588748520698,30.170855021811132,0.4818216362336116,0.0016489145072409884,0.002161635769989516
S07_generic_film_middeep,1,0.9886005809475928,30.205776432536737,0.4884810961872287,0.001882639303803444,0.0017930601098851183
S07_generic_film_middeep,2,1.0219186509024738,30.06564621450152,0.4826915835872729,0.0034172673209104686,0.0018071491697992314
S08_rsbfilm_middeep_default,0,0.9941082827338681,30.18157800386069,0.4836847059102714,0.0016900871924008243,0.001945014649973018
S08_rsbfilm_middeep_default,1,0.9901969228263552,30.199066670927937,0.4902050622251651,0.001983266317984089,0.0019324478901398834
S08_rsbfilm_middeep_default,2,1.020085094798107,30.072175516530752,0.48467172571963163,0.002871990768471733,0.0019292920698717353
S09_concat_Mshell_delta_Pcyc_sincos,0,0.9948802164196803,30.178165176644466,0.48187713439718743,0.0015859601850388573,0.0010011544898952706
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,0.999912624478877,30.15623579019486,0.47922055940786573,0.0015842821125988849,0.0014453520097595174
S11_rsbfilm_Pcyc_sincos,0,1.018916823494882,30.07675825340884,0.4843729226333772,0.002518238889751956,0.0019449985400933655
