variant,seed,family,n,NMSE,PSNR,SSIM
S01_ref3,0,L-shape,20,3.3243850019688863,23.58883861125389,0.18415931677260383
S01_ref3,0,cross,15,5.301341320507399,23.53942937932234,0.18357937610163783
S01_ref3,0,double-line,15,3.155882342589904,23.364330428113572,0.20362625474531704
S01_ref3,0,line,20,5.207608052731839,24.54234403581781,0.2231650669728557
S01_ref3,0,point_cluster,20,13.031400185950176,23.590023976850127,0.13384237627631135
S01_ref3,0,small_rect_edge,10,4.158195671827727,24.174785605585406,0.18880941862326206
S02_plain_residual_unet,0,L-shape,20,1.4881143636639949,26.743852994402868,0.34319986332153607
S02_plain_residual_unet,0,cross,15,1.8878533219704552,27.5973479771052,0.40574834442375896
S02_plain_residual_unet,0,double-line,15,1.5059213959862834,25.955049247422384,0.323854066319366
S02_plain_residual_unet,0,line,20,2.090213099757423,28.152059110627,0.4228224102576615
S02_plain_residual_unet,0,point_cluster,20,4.419678003791342,28.340956985058803,0.39631671141370767
S02_plain_residual_unet,0,small_rect_edge,10,1.7493696982797562,27.477668263979194,0.3529684031566958
S02_plain_residual_unet,1,L-shape,20,0.9884958344126884,28.34393148410741,0.3919002134958711
S02_plain_residual_unet,1,cross,15,0.9889689926085784,30.022933907946427,0.48809598332533977
S02_plain_residual_unet,1,double-line,15,0.9910022968879273,27.438177149533853,0.34517844278863563
S02_plain_residual_unet,1,line,20,1.0011793452940339,30.665918894196647,0.5175131539083371
S02_plain_residual_unet,1,point_cluster,20,1.0857486607166364,33.64929478160767,0.6894623163804707
S02_plain_residual_unet,1,small_rect_edge,10,1.0035387537598996,29.574790936661987,0.4590747619556721
S02_plain_residual_unet,2,L-shape,20,0.9953448237821607,28.313521905609036,0.3749070800881358
S02_plain_residual_unet,2,cross,15,0.9933062083164096,30.002565595758746,0.470546314420285
S02_plain_residual_unet,2,double-line,15,0.9951559963994316,27.41956406526456,0.3265131645850606
S02_plain_residual_unet,2,line,20,0.9947943631756422,30.69192556466779,0.5083334467575982
