variant,num_seeds,NMSE_mean,NMSE_std,NMSE_best,NMSE_worst,PSNR_mean,PSNR_std,PSNR_best,PSNR_worst,SSIM_mean,SSIM_std,SSIM_best,SSIM_worst,MAE_mean,MAE_std,MAE_best,MAE_worst
S01_ref3,1,5.997081764777547,0.0,5.997081764777547,5.997081764777547,23.797283856458293,0.0,23.797283856458293,23.797283856458293,0.1851951384937236,0.0,0.1851951384937236,0.1851951384937236,0.012322662975639104,0.0,0.012322662975639104,0.012322662975639104
S02_plain_residual_unet,3,1.430389254938773,0.6033554866971013,0.995129156967143,2.2836042709640383,29.237851097933245,1.2800642531391515,30.177078281434362,27.42800022809479,0.4497067916079797,0.051410919406367675,0.4906737768695993,0.37720499892571946,0.0029606131008282927,0.0015810082965630754,0.0015267551265424118,0.005163280736887828
S03_concat_Mshell,1,0.996159649730595,0.0,0.996159649730595,0.996159649730595,30.17271518024907,0.0,30.17271518024907,30.17271518024907,0.48518480910675693,0.0,0.48518480910675693,0.48518480910675693,0.0018000520096393303,0.0,0.0018000520096393303,0.0018000520096393303
S04_concat_Mshell_delta,3,1.4814047235474164,0.676917674962978,1.000746249445357,2.4387080755226433,29.16459478254566,1.3900046168684979,30.15270886762693,27.198840703070584,0.4431828360979238,0.06463143612570911,0.4963610825415975,0.35221289754737783,0.0035608779500277406,0.002001150440353704,0.0016970309356111103,0.006337106301216409
S05_concat_Mshell_delta_Pcyc,3,2.6625633589310245,2.358144331853322,0.9837516385546562,5.997457235604787,28.050827389764905,3.008169673206372,30.227176588523207,23.797016156468988,0.38562109240724984,0.1418683612198365,0.48928629043512006,0.18502662693828245,0.005328382279840297,0.004956989542660837,0.0016644486793666146,0.012336188231129199
S06_geometry_branch_bottleneck_concat,3,1.6439988565589514,0.9202712855020079,0.9908091478353779,2.9454558866627694,28.970810042306027,1.7176217922899495,30.19623643734287,26.54175862056166,0.4329336031705999,0.07351444903964666,0.4886693198169139,0.3290610822020134,0.00336745393423674,0.0022818846919650053,0.0015480072679929435,0.006585359884193167
S07_generic_film_middeep,3,1.0023593689007122,0.014206987594979134,0.9886005809475928,1.0219186509024738,30.14742588961646,0.05955844568262818,30.205776432536737,30.06564621450152,0.48433143866937106,0.002955666336171901,0.4884810961872287,0.4818216362336116,0.0023162737106516337,0.0007843455945373093,0.0016489145072409884,0.0034172673209104686
S08_rsbfilm_middeep_default,3,1.0014634334527768,0.01326397093700703,0.9901969228263552,1.020085094798107,30.150940063773124,0.05615071264415331,30.199066670927937,30.072175516530752,0.48618716461835604,0.0028695153958021935,0.4902050622251651,0.4836847059102714,0.002181781426285549,0.0005025138153658105,0.0016900871924008243,0.002871990768471733
S09_concat_Mshell_delta_Pcyc_sincos,1,0.9948802164196803,0.0,0.9948802164196803,0.9948802164196803,30.178165176644466,0.0,30.178165176644466,30.178165176644466,0.48187713439718743,0.0,0.48187713439718743,0.48187713439718743,0.0015859601850388573,0.0,0.0015859601850388573,0.0015859601850388573
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,1,0.999912624478877,0.0,0.999912624478877,0.999912624478877,30.15623579019486,0.0,30.15623579019486,30.15623579019486,0.47922055940786573,0.0,0.47922055940786573,0.47922055940786573,0.0015842821125988849,0.0,0.0015842821125988849,0.0015842821125988849
S11_rsbfilm_Pcyc_sincos,1,1.018916823494882,0.0,1.018916823494882,1.018916823494882,30.07675825340884,0.0,30.07675825340884,30.07675825340884,0.4843729226333772,0.0,0.4843729226333772,0.4843729226333772,0.002518238889751956,0.0,0.002518238889751956,0.002518238889751956
