variant,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample
S01_ref3,0,line_test_0000,line,2.3802509444870017,27.07478623842836,0.3825261612118287,0.004847067408263683,0.0
S01_ref3,0,line_test_0001,line,2.8095012944802833,21.423931945356394,0.13889635238782713,0.018482092767953873,0.0
S01_ref3,0,line_test_0002,line,4.807651813460952,23.382970345778627,0.13800560093434078,0.013160272501409054,0.0
S01_ref3,0,line_test_0003,line,20.815884979731333,20.72716650864688,0.03983880943284683,0.017313355579972267,0.0
S01_ref3,0,line_test_0004,line,4.649641262704731,29.964212165871572,0.4553805125801917,0.0038088178262114525,0.0
S01_ref3,0,line_test_0005,line,6.786229838878678,24.1007251453845,0.15493485578576247,0.010280394926667213,0.0
S01_ref3,0,line_test_0006,line,10.60137618062908,21.345418914537504,0.08446241488050694,0.01284397765994072,0.0
S01_ref3,0,line_test_0007,line,4.426647906072224,23.32815268619378,0.16619566648424866,0.010784328915178776,0.0
S01_ref3,0,line_test_0008,line,1.8135518536743036,23.235446376161633,0.23123112055233644,0.014363869093358517,0.0
S01_ref3,0,line_test_0009,line,3.072263364576465,25.33223538731692,0.23050864512863198,0.008944889530539513,0.0
S01_ref3,0,line_test_0010,line,4.9294071940408974,25.491728215192296,0.23530805952593553,0.007784923072904348,0.0
S01_ref3,0,line_test_0011,line,1.3147859913230748,26.558338904591263,0.3291600565470073,0.006723260506987572,0.0
S01_ref3,0,line_test_0012,line,3.5992917109430396,24.119749132379656,0.18949062841425662,0.010440508835017681,0.0
S01_ref3,0,line_test_0013,line,3.117376110988589,22.07584341427855,0.19016827927944632,0.01393706165254116,0.0
S01_ref3,0,line_test_0014,line,3.1051062043979045,29.90919653102088,0.4446150998744279,0.004324931651353836,0.0
S01_ref3,0,line_test_0015,line,11.342034748113198,24.8421861212335,0.16921340935711962,0.008140262216329575,0.0
S01_ref3,0,line_test_0016,line,3.4204998338397994,22.862114676284474,0.1443160330839841,0.014005864039063454,0.0
S01_ref3,0,line_test_0017,line,1.7248491085084598,29.72749163043329,0.4591276436787117,0.004199373535811901,0.0
S01_ref3,0,line_test_0018,line,3.847254494079633,23.517094010274405,0.16841588996073928,0.011343679390847683,0.0
S01_ref3,0,line_test_0019,line,5.588556219707127,21.82809236699163,0.11150610035696375,0.013699670322239399,0.0
S01_ref3,0,cross_test_0000,cross,10.753727009748326,21.864774348822444,0.06885125524766704,0.016591349616646767,0.0
S01_ref3,0,cross_test_0001,cross,2.15543072326895,23.165333476123813,0.2303705837373378,0.014476739801466465,0.0
S01_ref3,0,cross_test_0002,cross,2.701914913956144,26.048271501408237,0.26968484183952673,0.007455948740243912,0.0
S01_ref3,0,cross_test_0003,cross,2.373120475336822,23.879702903179798,0.24715704033249272,0.01165051106363535,0.0
S01_ref3,0,cross_test_0004,cross,2.891044503253579,23.25514144506613,0.2198308381926557,0.012470589950680733,0.0
S01_ref3,0,cross_test_0005,cross,10.671320116224576,20.88253055030414,0.043164886577722134,0.021378768607974052,0.0
S01_ref3,0,cross_test_0006,cross,2.25428169229143,25.19016074646297,0.3660811784891298,0.00659990357235074,0.0
S01_ref3,0,cross_test_0007,cross,6.200106690590632,26.007332704804927,0.27205166423574995,0.006666935048997402,0.0
S01_ref3,0,cross_test_0008,cross,3.7173170649120486,22.263738013022415,0.1142077031346542,0.016891146078705788,0.0
S01_ref3,0,cross_test_0009,cross,6.4984573299944435,24.75149696445634,0.1838999514997055,0.008267752826213837,0.0
S01_ref3,0,cross_test_0010,cross,11.41240889185101,21.47374336267915,0.05837932900363861,0.016331734135746956,0.0
S01_ref3,0,cross_test_0011,cross,3.645834490222038,21.69618971048582,0.10496867248424277,0.018717769533395767,0.0
S01_ref3,0,cross_test_0012,cross,3.8658607119766355,25.79414091708026,0.2786096213203514,0.007573322393000126,0.0
S01_ref3,0,cross_test_0013,cross,8.182413694702488,22.533426337619055,0.06693676175344941,0.017392681911587715,0.0
S01_ref3,0,cross_test_0014,cross,2.19688149928185,24.28545770831958,0.229496313676244,0.010209028609097004,0.0
S01_ref3,0,L_shape_test_0000,L-shape,3.0429111770592057,21.339281504715245,0.09227929327432895,0.0199446938931942,0.0
S01_ref3,0,L_shape_test_0001,L-shape,2.5611217491567078,23.57915155505416,0.22686428053173077,0.011385496705770493,0.0
S01_ref3,0,L_shape_test_0002,L-shape,5.243198565646372,20.084957506129122,0.06497218249078694,0.023905368521809578,0.0
S01_ref3,0,L_shape_test_0003,L-shape,2.864450051882877,22.91788644436342,0.14939910995875008,0.014397700317203999,0.0
S01_ref3,0,L_shape_test_0004,L-shape,2.4443019889460547,21.898836214355015,0.1180024371881098,0.019108491018414497,0.0
S01_ref3,0,L_shape_test_0005,L-shape,2.6114448965110353,22.970910897310183,0.14126028470119179,0.014901294372975826,0.0
S01_ref3,0,L_shape_test_0006,L-shape,3.0155357082981524,26.36743583509655,0.273437965604994,0.007584443781524897,0.0
S01_ref3,0,L_shape_test_0007,L-shape,2.0580469676245943,23.864968329970143,0.22518585411396555,0.011804604902863503,0.0
