epoch,train_l1
1,0.04917321053333581
2,0.012964613288640976
3,0.008029433251358568
4,0.0064413929311558605
5,0.0055262855300679805
6,0.004981935354880989
7,0.004723364361561835
8,0.004437821342144162
9,0.0047960901632905
10,0.004099090353120119
11,0.003801358318887651
12,0.0036526762740686537
13,0.003597590506542474
14,0.003478399058803916
15,0.0037660231674090027
16,0.0033093751315027477
17,0.0031767876422964035
18,0.003027140818303451
19,0.0030350027605891227
20,0.0029113726131618023
21,0.0029381724330596625
22,0.0027513694763183594
23,0.0025468444847501813
24,0.002860938239609823
25,0.002677944649476558
26,0.0023896533891092984
27,0.002382236720295623
28,0.0025221317214891314
29,0.002648938033962622
30,0.0027205918612889946
31,0.0024641734827309846
32,0.002259448263794184
33,0.0024004344083368777
34,0.0022844535729382187
35,0.0022683850326575337
36,0.002149811736308038
37,0.0022941821278072896
38,0.0022650596022140233
39,0.002201363506028429
40,0.0022127701819408684
41,0.0020691521652042868
42,0.0022177277330774816
43,0.002245411608600989
44,0.0024486513389274478
45,0.002136770993238315
46,0.0021526513737626374
47,0.002135820963885635
48,0.0020061865192838014
49,0.0020781520602758973
50,0.0020029726310167462
