ood_split,num_samples,num_seeds,generic_NMSE_mean,r04_NMSE_mean,delta_NMSE,relative_NMSE_improvement_pct,generic_PSNR_mean,r04_PSNR_mean,delta_PSNR,generic_SSIM_mean,r04_SSIM_mean,delta_SSIM,r04_better_seed_count_NMSE,r04_better_seed_count_PSNR,r04_better_seed_count_SSIM,r04_better_sample_ratio_NMSE,r04_better_sample_ratio_SSIM,bootstrap_delta_NMSE_ci95_low,bootstrap_delta_NMSE_ci95_high,conclusion
Leave-One-Family-Out OOD,300,3,1.005911410049717,1.0035349600832755,0.002376449966441596,0.2362484352696765,31.466688026289024,31.476682535816376,0.00999450952735259,0.559516864688241,0.5619782482111464,0.0024613835229053693,2,2,2,0.65,0.6966666666666667,0.001615493397229216,0.003197656073613538,tied within tolerance
Random-ET OOD,300,3,1.1565180152641843,1.1567041819214818,-0.00018616665729753734,-0.01609716881539551,28.736958490349387,28.747911212053605,0.010952721704217794,0.3756087426324893,0.3856162292140251,0.01000748658153583,1,1,1,0.5533333333333333,0.6066666666666667,-0.0171688270186525,0.017011979904365374,mixed
Unseen-Parameter OOD,300,3,0.992990096043064,0.993285768067938,-0.00029567202487401634,-0.029775928889143082,27.02500585597473,27.02372358395605,-0.001282272018681141,0.3118805837960209,0.3113315259430865,-0.0005490578529344092,2,2,1,0.5266666666666666,0.3933333333333333,-0.0012869871981884575,0.0008295640836028932,tied within tolerance
