method_id,table_label,ood_split,seed,sample_id,NMSE,PSNR,SSIM,MAE
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0000,5.905554651248193,23.5629538765542,0.09037485615638831,0.015654215589165688
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0001,4.07867247856616,25.45882151634226,0.215999889688008,0.010171539150178432
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0002,8.070655534731326,21.81551595330566,0.05129400885509155,0.021065326407551765
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0003,4.044714753793895,25.870332415796785,0.21237036711187907,0.00938648171722889
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0004,11.071551821456154,20.79140671136389,0.036999220960325124,0.02514750137925148
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0005,8.455015209297223,21.402609201597578,0.04246962372436911,0.022578544914722443
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0006,4.225716103108896,24.933185689582356,0.22461822027507158,0.008630133233964443
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0007,3.852391459945159,25.721484016621897,0.2057935516832687,0.009789208881556988
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0008,3.582957348976533,25.60604693996772,0.1917968734093282,0.010953687131404877
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0009,6.615220165766216,23.84119265153526,0.13848737267218472,0.01135100144892931
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0010,4.042145447900593,26.049251025522867,0.2830059855592195,0.00754126999527216
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0011,9.236945165934697,21.946979246313823,0.06336890091392607,0.01839841902256012
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0012,2.911678616438747,26.35116572092938,0.22838095046639753,0.00925420131534338
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0013,4.950955162491395,24.323870667407384,0.14662076452924933,0.011943801306188107
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0014,8.060050056291063,23.159451927089975,0.08602297807535116,0.01622263342142105
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0015,6.387938959580541,22.584490289295207,0.09706720047159556,0.01581602543592453
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0016,7.458817766224229,22.671754966478595,0.07879827475505881,0.0171017087996006
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0017,11.936128467136388,20.12490496029403,0.027408586539784018,0.026484215632081032
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0018,9.645488153995469,22.23796882040324,0.06503327210175368,0.01858055219054222
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0019,4.5007544101955395,24.960300906271634,0.20962701990905283,0.0094297481700778
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0020,10.984200639619615,21.623163486831416,0.05769495690649074,0.01788458600640297
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0021,4.78633959548308,25.349144549624217,0.1965989200951094,0.009734808467328548
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0022,7.285121040965386,22.902856388548894,0.0807251158556709,0.016576401889324188
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0023,6.680407482368208,23.717214088200635,0.07758551488360634,0.017095759510993958
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0024,7.896821251315659,21.706912424708854,0.07233120125076788,0.017723150551319122
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0025,5.258510836433491,24.321662518016506,0.13132023728026576,0.013147415593266487
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0026,4.546256557709611,23.837679143348222,0.13317163859848777,0.014221442863345146
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0027,5.535081821125651,23.814582034797134,0.13048985166647764,0.01281515322625637
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0028,8.359639105809324,23.56172022032093,0.08637201991012097,0.015456241555511951
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0029,14.933931961020631,19.827687582631267,0.038730693409584294,0.02131713181734085
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0030,3.8571599084387747,25.395516604376862,0.18827510989903803,0.010848981328308582
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0031,5.174694925313754,25.150272178710797,0.1891255387504478,0.00913927797228098
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0032,17.478029230339505,19.68660643537962,0.017627856056645845,0.031658682972192764
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0033,4.306687988972264,25.178665177313242,0.16434907175197055,0.011882184073328972
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0034,9.95861305749451,22.07223962362068,0.04983274298498221,0.02137712389230728
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0035,1.541503589076091,29.33680358682771,0.43563096796537576,0.003905997145920992
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0036,6.329527500605207,23.725095615655345,0.14556278047110927,0.011702294461429119
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0037,2.634383469888569,26.796783498325752,0.3205575506536771,0.007385784760117531
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0038,4.368431378416665,25.11253898103671,0.1372716652333671,0.013968001119792461
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0039,4.716596514204747,24.18723178594631,0.14721070114034024,0.012691204436123371
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0040,5.03513637397142,24.843517161054287,0.19690430676361506,0.009335828013718128
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0041,13.249398181911863,21.152113485926645,0.0298740316166049,0.025302670896053314
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0042,7.117938896413548,22.39606266109513,0.061898215100149534,0.01834770292043686
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0043,8.836710773324569,22.201267028770193,0.0707136490030924,0.016900943592190742
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0044,8.810523104012479,22.735393757650044,0.06953198513692997,0.01693020761013031
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0045,12.223837545203988,19.51041228588893,0.031919571035715306,0.024403059855103493
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0046,7.448110165560687,22.83833926092788,0.05553707881486087,0.021627509966492653
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0047,7.770076651530691,21.904098895291426,0.052756600099776355,0.021266579627990723
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0048,7.4328313308595755,23.335157610234553,0.09723833767096349,0.015304825268685818
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0049,4.56673717698585,24.866764379883275,0.18179670441236603,0.010791772045195103
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0050,4.223209568232982,26.555914712119637,0.2455657805676062,0.008276503533124924
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0051,8.007648964557422,22.536071731462023,0.10409288224650164,0.014387452974915504
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0052,3.2728178930961103,25.192538990394763,0.19624998727495566,0.010054606013000011
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0053,12.297754718543016,20.53634429306867,0.03595710168784293,0.021717619150877
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0054,4.569924130432025,25.63060769276148,0.22343085694789366,0.009106680750846863
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0055,8.468881428837307,21.957384137726503,0.06315022110469659,0.018220387399196625
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0056,3.517479515570077,25.515650119605557,0.22486240182167622,0.009603513404726982
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0057,6.654204843500319,22.71963842314111,0.08666800135022923,0.014617657288908958
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0058,3.12254888865472,26.1925318971999,0.29389918064569226,0.0070401462726294994
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0059,3.7587677508644863,26.123987165242752,0.20400000552676636,0.009530570358037949
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0060,6.530318273511105,24.356357379874602,0.131024404902457,0.011983119882643223
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0061,4.897179592545806,24.32906346120341,0.15476510621715028,0.01194277498871088
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0062,9.351432577582452,21.25353634328176,0.05360520306650291,0.020460980013012886
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0063,5.24787559418738,24.767303701424623,0.17764913565689397,0.010356836952269077
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0064,6.222359634943244,25.154603060378978,0.15265931733116328,0.01127212680876255
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0065,7.5460579870685205,23.22875369985127,0.08264004430946091,0.015707459300756454
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0066,14.330581176917223,19.93809024022581,0.024816150385347915,0.02706071175634861
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0067,5.792415016064825,23.521158967837444,0.10001448197692481,0.01462757121771574
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0068,1.639497643790987,28.79530287849667,0.3947935685820101,0.004913663491606712
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0069,6.192863684092199,23.20067270112057,0.09480458724423081,0.014618990942835808
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0070,6.014600108982327,23.929339784871047,0.11711296301991064,0.013811346143484116
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0071,4.949742919844726,23.880137742842287,0.11865622315108537,0.014270090498030186
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0072,7.7327269632687665,22.539332156172417,0.10276701484104758,0.01357967033982277
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0073,6.799473465146832,23.14107829133023,0.09337477906661537,0.015081743709743023
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0074,11.012344016710673,21.099299990957906,0.03877792274756658,0.023084498941898346
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0075,6.300876510930444,23.37524322961455,0.09952199386204304,0.015618226490914822
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0076,3.046992339757958,26.064270869909617,0.2219325313736547,0.010608247481286526
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0077,5.784713452237886,23.295820863676337,0.10292624298368812,0.014385909773409367
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0078,4.982042005456817,25.31534573013414,0.19209718427462857,0.009921345859766006
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0079,11.060853319832223,20.40490059519351,0.039433136858437925,0.023706533014774323
O00_ref3,ref3,Leave-One-Family-Out OOD,none,leave_one_family_out_ood_0080,5.075810953276407,23.248867450026008,0.11631268023605155,0.014007655903697014
