method_id,table_label,ood_split,seed,num_samples,NMSE_mean,PSNR_mean,SSIM_mean,MAE_mean,network_runtime_per_sample,end_to_end_runtime_per_sample,source,notes
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Random-ET OOD,2,100,1.1914143958800338,28.65624661824409,0.38454764857187984,0.005205746978754177,0.0017474678695725743,0.33576871128883795,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Unseen-Parameter OOD,0,100,1.0040947246574712,26.976556100448242,0.31428705210002833,0.003891647830605507,0.002016861700685695,0.3360381051199511,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Unseen-Parameter OOD,1,100,0.9912167803793394,27.032591974580345,0.30727859787882317,0.0025275253655854613,0.001778583839914063,0.33579982725917945,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Unseen-Parameter OOD,2,100,0.9836587830923815,27.0658694928956,0.31407610140921116,0.002657083364902064,0.0017474678695725743,0.33576871128883795,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Leave-One-Family-Out OOD,0,100,1.0245079998380024,31.3865295157905,0.5582260439805523,0.002245245383819565,0.001934655739896698,0.3359558991591621,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Leave-One-Family-Out OOD,1,100,0.990566062835508,31.532643978278152,0.5656429800468628,0.0013690219959244132,0.0019403902406338602,0.33596163365989923,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Leave-One-Family-Out OOD,2,100,0.9955308175763159,31.510874113380478,0.5620657206060242,0.0012780824571382255,0.0019408387498697265,0.3359620821691351,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Random-ET OOD,0,100,1.1226700709903246,28.813132212699603,0.37607334427547806,0.00639543724944815,0.001934655739896698,0.3359558991591621,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Random-ET OOD,1,100,1.1183373491780828,28.862085669200567,0.39728889476311985,0.004981069704517722,0.0019403902406338602,0.33596163365989923,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Random-ET OOD,2,100,1.2291051255960384,28.568515754260645,0.38348644860347747,0.004807544976938516,0.0019408387498697265,0.3359620821691351,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Unseen-Parameter OOD,0,100,1.0028855193127513,26.981794691475912,0.3119012221302372,0.003377105575054884,0.001934655739896698,0.3359558991591621,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Unseen-Parameter OOD,1,100,0.9822239473741248,27.072251736799803,0.31595170999416805,0.0027119882951956243,0.0019403902406338602,0.33596163365989923,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Unseen-Parameter OOD,2,100,0.9947478375169381,27.017124323592427,0.30614164570485425,0.0026456782303284853,0.0019408387498697265,0.3359620821691351,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
