method,reference_count,wall_time_mean_sec,estimated_peak_memory_mb,speedup_vs_bp
ref3,3,0.574168470418746,26.978332301548548,3.982039957978429
ref5,5,0.6834361294251201,27.114609200613838,3.345392046718397
ref7,7,0.8183335874262931,27.25088609967913,2.793923929004971
ref9,9,0.930355550159168,27.38716299874442,2.4575140024989848
BP,31,2.286361791818802,28.886208888462612,1.0
