mode,family,count,ref3_nmse_mean,learned_nmse_mean,ref3_psnr_mean,learned_psnr_mean,ref3_ssim_mean,learned_ssim_mean,nmse_gain_vs_ref3
M1,random_et,48,5.626600678628656,1.0048149142926965,22.709985735158558,29.033151015060877,0.07260856756937133,0.4134935642630331,4.62178576433596
M1,L-shape,24,5.324878338200795,0.785966833753197,22.97106558589216,30.00298701589327,0.16587793065753154,0.6501189791326879,4.538911504447598
M1,cross,24,3.7309385264266552,0.7281865268588542,24.18463756110388,30.27912586911077,0.22257632954455744,0.6301680067112104,3.0027519995678014
M1,double-line,24,5.213236955245104,0.7871647188444305,22.696929467853124,29.86503084347503,0.15571934939203916,0.6220514396043825,4.426072236400674
M1,line,24,5.025149796823082,0.7837388303031748,24.765705798297773,31.903493880649567,0.23945566274049682,0.6952185843449117,4.241410966519908
M1,point_cluster,24,11.3377188683045,1.035063433778918,24.346086873920175,33.91427221981781,0.1839139881529166,0.7127681853279113,10.30265543452558
M1,small_rect_edge,24,3.9840853781480963,0.7335255519965402,24.53354974288784,31.146676522624062,0.21457131477498484,0.6698356650999111,3.2505598261515556
M2,L-shape,24,5.324878338200795,0.7672423097274997,22.97106558589216,29.94667280756344,0.16587793065753154,0.6009393671056554,4.557636028473296
M2,cross,24,3.7309385264266552,0.7708800352743617,24.18463756110388,29.98467374890131,0.22257632954455744,0.5711723883058472,2.9600584911522936
M2,double-line,24,5.213236955245104,0.8091810104990919,22.696929467853124,29.57216053260717,0.15571934939203916,0.5568117581142745,4.404055944746013
M2,line,24,5.025149796823082,0.7849466457972752,24.765705798297773,31.748814649066674,0.23945566274049682,0.6552569910505802,4.240203151025807
M2,point_cluster,24,11.3377188683045,0.9826600302082689,24.346086873920175,34.12499097855831,0.1839139881529166,0.7146664832387463,10.355058838096229
M2,small_rect_edge,24,3.9840853781480963,0.7804041855607408,24.53354974288784,30.845170230102212,0.21457131477498484,0.6113722401655434,3.2036811925873554
M3,random_et,48,5.626600678628656,1.0068527354708119,22.709985735158558,29.02493306781116,0.07260856756937133,0.4227407073356306,4.6197479431578445
M3,L-shape,24,5.324878338200795,0.7478538454976801,22.97106558589216,30.109231697623255,0.16587793065753154,0.6335303804259449,4.577024492703116
M3,cross,24,3.7309385264266552,0.7261989126441751,24.18463756110388,30.256462615988028,0.22257632954455744,0.6209238375297017,3.00473961378248
M3,double-line,24,5.213236955245104,0.7844622636290177,22.696929467853124,29.769642189015944,0.15571934939203916,0.6002702418804552,4.428774691616087
M3,line,24,5.025149796823082,0.7498124127904413,24.765705798297773,32.01772276692264,0.23945566274049682,0.6879141682394573,4.275337384032642
M3,point_cluster,24,11.3377188683045,0.9729217937561883,24.346086873920175,34.17464115998587,0.1839139881529166,0.719385529006613,10.36479707454831
M3,small_rect_edge,24,3.9840853781480963,0.763820473107209,24.53354974288784,30.94523262957037,0.21457131477498484,0.631642029368367,3.220264905040887
