variant_id,table_label,metadata,modulation,rsb_envelope,num_seeds,num_test_samples,NMSE_mean,NMSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,MAE_mean,MAE_std,network_runtime_per_sample_mean,network_runtime_per_sample_std,end_to_end_runtime_per_sample_mean,end_to_end_runtime_per_sample_std,param_count_mean,source,notes
A00_ref3_residual_UNet,ref3 + residual U-Net,none,none,none,3,100,1.430389254938773,0.6033554866971013,29.237851097933245,1.2800642531391515,0.4497067916079797,0.051410919406367675,0.0029606131008282927,0.0015810082965630754,0.0009584348167360683,8.526415744336735e-05,0.33497967823600144,8.526415744336702e-05,21357.0,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet from 001b
A01_ref3_metadata_concat_sincos,ref3 + metadata concat,sin-cos metadata concat,none,none,3,100,1.02015112717392,0.03416653643874465,30.080044024803286,0.13196470685906875,0.48254101886585854,0.0006283025079909082,0.0020567538461182264,0.0006114247062231944,0.0010385838123693246,8.000870838854826e-05,0.3350598272316347,8.00087083885373e-05,22005.0,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner; /home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_003b_table2_component_ablation/20260518_141021,seed 0 reused from 001b S09; seeds 1/2 rerun in this 003b root
A02_ref3_metadata_generic_FiLM_sincos,ref3 + metadata + generic FiLM,sin-cos metadata branch,generic FiLM,none,3,100,1.0023837660949266,0.018430011805376404,30.147240166342932,0.07812602990302635,0.48379684111811044,0.0031473128109649274,0.00207702842541039,0.0006287652474264465,0.0018476378033907774,0.00012033175381511918,0.3358688812226562,0.00012033175381512123,36285.0,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc from 002b
A03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,sin-cos metadata branch,RSB-FiLM,product sqrt(|Pcyc|*|delta_rho_norm|),3,100,1.0011023935477104,0.015592364067288228,30.152393901022613,0.06649376705812711,0.4848111224795926,0.0031191728571786695,0.0019695788591828508,0.00034727272703200137,0.0019386282434667615,2.814945658953361e-06,0.3359598716627321,2.814945658948044e-06,36285.0,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta from 002b
