epoch,train_l1
1,0.03085369543172419
2,0.013987308228388428
3,0.012330361674539745
4,0.007466834834776819
5,0.0048083347594365475
6,0.004218486540485174
7,0.003900710269808769
8,0.003620370915159583
9,0.003393856005277485
10,0.003232892786618322
11,0.0030943760462105274
12,0.0029825738864019515
13,0.002872678373241797
14,0.0027852957462891938
15,0.002720047280890867
16,0.0026283673103898765
17,0.0025739666004665194
18,0.0024835052830167116
19,0.0023899072129279376
20,0.0023865629732608795
21,0.002362908272771165
22,0.0023000610747840257
23,0.0022664586117025465
24,0.002188181704841554
25,0.0022031507326755674
26,0.002149704787880182
27,0.0021150527393911035
28,0.0020884506008587776
29,0.0020333309390116482
30,0.0020868425199296325
31,0.0021717514481861145
32,0.002137257131980732
33,0.001977892683353275
34,0.0019101021729875356
35,0.0018996450048871338
36,0.0018934664526022971
37,0.0018467786558903753
38,0.0018271367182023824
39,0.0018250022130087019
40,0.0018123575521167368
41,0.0018379019654821604
42,0.0017881344439228996
43,0.001772014630259946
44,0.0020618080848362297
45,0.0017235200991854072
46,0.001687009042943828
47,0.0018317094934172929
48,0.0017390971234999596
49,0.001851285477168858
50,0.001871484573930502
