epoch,train_l1
1,0.05007579058408737
2,0.013739467477425932
3,0.008515170132741333
4,0.006368853733874857
5,0.005526501948479563
6,0.00524829909671098
7,0.005309413457289338
8,0.004736520627047867
9,0.003924397421069443
10,0.004147652606479824
11,0.003958972613327205
12,0.003739409267436713
13,0.003668347531929612
14,0.0034481765842065215
15,0.0033618639432825147
16,0.003282867092639208
17,0.003294152794405818
18,0.003217894174158573
19,0.002966865231283009
20,0.0029580412432551385
21,0.002861804650165141
22,0.002892591080162674
23,0.002900465469574556
24,0.0026945725362747907
25,0.0027083832887001336
26,0.0026083410996943714
27,0.002564277903875336
28,0.0026100451324600725
29,0.0026485428074374795
30,0.0025770786439534275
31,0.0025432125688530506
32,0.0023405486589763314
33,0.002496292847208679
34,0.0024212022416759283
35,0.00233074841205962
36,0.0022001825785264374
37,0.002228728790068999
38,0.002355334631865844
39,0.0022740401676855982
40,0.0022156704880762846
41,0.002246340778656304
42,0.00225958644063212
43,0.0021953973930794748
44,0.001974111454328522
45,0.0021290122403297574
46,0.002074851224897429
47,0.002102753835497424
48,0.00202957053668797
49,0.002054811411071569
50,0.001960423227865249
