epoch,train_l1
1,0.050149135421961546
2,0.013646543947979808
3,0.00856193661224097
4,0.0065637619094923135
5,0.005298330078367144
6,0.005224695736542344
7,0.004530434380285442
8,0.004609945446718484
9,0.004242834725882858
10,0.004236678944434971
11,0.0038901185267604887
12,0.00372622357448563
13,0.003615416216198355
14,0.003377748851198703
15,0.003349051317200065
16,0.003162896391004324
17,0.0030832861387170853
18,0.003153866904322058
19,0.003023035451769829
20,0.002942190149333328
21,0.0027905797364655882
22,0.0028835928626358507
23,0.002673287498764694
24,0.002919478607363999
25,0.0028479841887019573
26,0.0026699611963704227
27,0.0025698870664928107
28,0.00233353630406782
29,0.002491564602823928
30,0.0025776389532256873
31,0.0024915764352772384
32,0.002463805046863854
33,0.0024582017282955347
34,0.002410930066835135
35,0.0021599885157775134
36,0.0023342337750364094
37,0.0024356384051498025
38,0.0021853683644440024
39,0.0022555189579725266
40,0.0022456581809092314
41,0.002130432123085484
42,0.0022276025521568953
43,0.002221652965527028
44,0.002235391327412799
45,0.0022035577963106334
46,0.0021088487457018345
47,0.0021124180650804194
48,0.002111374189844355
49,0.002045794508885592
50,0.002199868339812383
